Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,238.0,238.399994,232.460007,236.19999700000002,236.19999700000002,8103900,,
2021-06-02-00-00-00,234.4,238.29,233.9,234.62,,5543900,0.0,0.0
2021-06-03-00-00-00,232.89,233.18,229.43,230.84,,5109000,0.0,0.0
2021-06-04-00-00-00,231.63,237.89,231.52,237.48,,6177600,0.0,0.0
2021-06-07-00-00-00,236.6,239.47,235.84,238.14,,3510800,0.0,0.0
2021-06-08-00-00-00,238.8,241.79,235.67,236.42,,5827300,0.0,0.0
2021-06-09-00-00-00,238.87,238.87,235.51,236.09,,3350900,0.0,0.0
2021-06-10-00-00-00,236.0,240.29,235.15,240.19,,4659500,0.0,0.0
2021-06-11-00-00-00,239.02999900000003,240.36999500000002,238.41000400000001,240.309998,240.309998,4622800,,
2021-06-14-00-00-00,240.7,246.64,240.48,246.26,,6764700,0.0,0.0
2021-06-15-00-00-00,245.21,245.36,242.01,242.58,,5135300,0.0,0.0
2021-06-16-00-00-00,242.0,245.01,239.48,242.39,,5099300,0.0,0.0
2021-06-17-00-00-00,242.0,247.18,241.2,244.43,,5170200,0.0,0.0
2021-06-18-00-00-00,241.85,246.01,241.06,242.78,,7822200,0.0,0.0
2021-06-21-00-00-00,243.45,244.72,238.89,244.48,,5895100,0.0,0.0
2021-06-22-00-00-00,243.80000299999998,244.72000099999997,240.88999900000002,243.11000099999998,243.11000099999998,4456400,,
2021-06-23-00-00-00,243.75,244.5,240.850006,241.83999599999999,241.83999599999999,4481600,,
2021-06-24-00-00-00,243.350006,247.690002,242.69999700000002,243.770004,243.770004,4986700,,
2021-06-25-00-00-00,244.190002,244.19999700000002,240.99000499999997,241.86999500000002,241.86999500000002,15406300,,
2021-06-28-00-00-00,244.210007,247.58999599999999,243.600006,244.57000699999998,244.57000699999998,4273300,,
2021-06-29-00-00-00,244.44,246.78,242.43,245.81,,3871900,0.0,0.0
2021-06-30-00-00-00,245.48,246.63,243.5,244.27,,4168800,0.0,0.0
