,2018-03-31,2019-03-30,2020-03-28,2021-03-27
Intangible Assets,188000000.0,163700000.0,141000000.0,121100000.0
Capital Surplus,2383400000.0,2493800000.0,2594400000.0,2667100000.0
Total Liab,2685900000.0,2655600000.0,4586800000.0,5283100000.0
Total Stockholder Equity,3457400000.0,3287200000.0,2693100000.0,2604400000.0
Deferred Long Term Liab,,,4900000.0,5300000.0
Other Current Liab,266800000.0,203900000.0,190800000.0,184000000.0
Total Assets,6143300000.0,5942800000.0,7279900000.0,7887500000.0
Common Stock,1300000.0,1300000.0,1300000.0,1300000.0
Other Current Assets,27800000.0,70900000.0,32400000.0,23600000.0
Retained Earnings,5752200000.0,5979100000.0,5994000000.0,5872900000.0
Other Liab,563500000.0,547900000.0,340700000.0,400400000.0
Good Will,950500000.0,919600000.0,915500000.0,934600000.0
Treasury Stock,-4679500000.0,-5187000000.0,-5896600000.0,-5936900000.0
Other Assets,183900000.0,180600000.0,357100000.0,370300000.0
Cash,1304600000.0,584100000.0,1620400000.0,2579000000.0
Total Current Liabilities,1587200000.0,1200100000.0,2092000000.0,1584800000.0
Deferred Long Term Asset Charges,86600000.0,67000000.0,245200000.0,283900000.0
Other Stockholder Equity,-98500000.0,-103400000.0,-118200000.0,-120800000.0
Property Plant Equipment,1186300000.0,1039200000.0,2491100000.0,2253500000.0
Total Current Assets,3548400000.0,3594800000.0,3375200000.0,4208000000.0
Net Tangible Assets,2318900000.0,2203900000.0,1636600000.0,1548700000.0
Short Term Investments,699400000.0,1403400000.0,495900000.0,197500000.0
Net Receivables,651700000.0,607100000.0,415400000.0,571900000.0
Long Term Debt,298800000.0,695000000.0,396400000.0,1632900000.0
Inventory,761300000.0,817800000.0,736400000.0,764000000.0
Accounts Payable,165600000.0,202300000.0,246800000.0,355900000.0
Short Long Term Debt,299700000.0,,299800000.0,
Long Term Investments,86200000.0,44900000.0,,
