,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-04-02
Investments,238300000.0,-173800000.0,271200000.0,-33100000.0,-170600000.0,-306300000.0,-43200000.0,-25900000.0
Change To Liabilities,-118900000.0,338500000.0,132100000.0,-58100000.0,5300000.0,140400000.0,150400000.0,-101500000.0
Total Cashflows From Investing Activities,220700000.0,-206900000.0,242800000.0,-61600000.0,-199400000.0,-343000000.0,-93400000.0,-82100000.0
Net Borrowings,765300000.0,-304100000.0,-2900000.0,-5300000.0,-5500000.0,-6200000.0,-5100000.0,-6300000.0
Total Cash From Financing Activities,673100000.0,-305800000.0,-3600000.0,-6900000.0,-34300000.0,-67800000.0,-356200000.0,-207400000.0
Change To Operating Activities,-13700000.0,35900000.0,-23600000.0,-39200000.0,-39100000.0,-8000000.0,-63900000.0,46000000.0
Net Income,-127700000.0,-39100000.0,119800000.0,-74100000.0,164700000.0,193300000.0,217700000.0,24400000.0
Change In Cash,831100000.0,-439100000.0,609700000.0,-43500000.0,17200000.0,-208500000.0,-111300000.0,-413400000.0
Repurchase Of Stock,-33900000.0,-1600000.0,-600000.0,-1600000.0,-28800000.0,-11100000.0,-300500000.0,-152200000.0
Effect Of Exchange Rate,7600000.0,16000000.0,23200000.0,-21300000.0,3300000.0,-14300000.0,-19200000.0,-18100000.0
Total Cash From Operating Activities,-70300000.0,57600000.0,347300000.0,46300000.0,247600000.0,216600000.0,357500000.0,-105800000.0
Depreciation,63700000.0,61500000.0,60300000.0,62100000.0,57200000.0,55900000.0,56200000.0,60400000.0
Other Cashflows From Investing Activities,3700000.0,-3500000.0,-3500000.0,-3500000.0,-600000.0,-1500000.0,-2900000.0,-2900000.0
Dividends Paid,-49800000.0,,-50500000.0,-50500000.0,-50500000.0,-50500000.0,-50600000.0,-48900000.0
Change To Inventory,-29000000.0,-100300000.0,37300000.0,95700000.0,-67700000.0,-131300000.0,-12600000.0,-57700000.0
Change To Account Receivables,186300000.0,-236000000.0,-17600000.0,-75700000.0,81600000.0,-55000000.0,5100000.0,700000.0
Change To Netincome,-66200000.0,19500000.0,12000000.0,213200000.0,40900000.0,19800000.0,21800000.0,-26800000.0
Capital Expenditures,-21300000.0,-32600000.0,-26900000.0,-27000000.0,-28200000.0,-35200000.0,-50200000.0,-53300000.0
Other Cashflows From Financing Activities,-8500000.0,-100000.0,-100000.0,,,,,
