Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02-00-00-00,256.079987,258.100006,253.25999500000003,257.309998,257.309998,3271000
2013-01-03-00-00-00,257.269989,260.880005,256.369995,258.480011,258.480011,2750900
2013-01-04-00-00-00,257.579987,259.799988,256.649994,259.149994,259.149994,1874200
2013-01-07-00-00-00,262.97000099999997,269.730011,262.670013,268.459991,268.459991,4910000
2013-01-08-00-00-00,267.070007,268.980011,263.570007,266.380005,266.380005,3010700
2013-01-09-00-00-00,268.170013,269.5,265.399994,266.350006,266.350006,2265600
2013-01-10-00-00-00,268.540009,268.73999,262.299988,265.339996,265.339996,2863400
2013-01-11-00-00-00,265.100006,268.429993,264.109985,267.940002,267.940002,2413300
2013-01-14-00-00-00,268.0,274.26001,267.540009,272.730011,272.730011,4275000
2013-01-15-00-00-00,270.679993,272.730011,269.299988,271.899994,271.899994,2326900
2013-01-16-00-00-00,270.52999900000003,271.23999,267.829987,268.929993,268.929993,2065600
2013-01-17-00-00-00,271.5,271.97000099999997,269.209991,270.480011,270.480011,1884600
2013-01-18-00-00-00,270.829987,274.5,269.600006,272.119995,272.119995,2942000
2013-01-22-00-00-00,271.619995,272.100006,269.230011,270.190002,270.190002,2137700
2013-01-23-00-00-00,270.570007,271.089996,266.649994,268.109985,268.109985,2508900
2013-01-24-00-00-00,269.369995,276.649994,269.369995,273.459991,273.459991,3417000
2013-01-25-00-00-00,275.0,284.72000099999997,274.399994,283.98999,283.98999,4968100
2013-01-28-00-00-00,283.77999900000003,284.480011,274.399994,276.040009,276.040009,4321400
2013-01-29-00-00-00,275.350006,275.459991,258.350006,260.350006,260.350006,10172600
2013-01-30-00-00-00,283.0,284.200012,267.109985,272.76001,272.76001,13075400
2013-01-31-00-00-00,271.040009,275.940002,263.700012,265.5,265.5,6772100
