,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,276631000.0,276155000.0,292023000.0,280982000.0,439533000.0,483205000.0,1041162000.0,1008560000.0,971286000.0
Capital Surplus,512318000.0,518610000.0,525541000.0,534303000.0,542893000.0,563162000.0,952939000.0,959890000.0,967819000.0
Total Liab,1609331000.0,1680634000.0,1779012000.0,1834315000.0,2013743000.0,2273449000.0,2605643000.0,2771410000.0,2970359000.0
Total Stockholder Equity,1097730000.0,1230192000.0,1390293000.0,1524730000.0,1655900000.0,1782072000.0,2213774000.0,2308134000.0,2418879000.0
Minority Interest,60564000.0,63249000.0,66118000.0,63093000.0,37283000.0,44909000.0,58363000.0,71989000.0,83713000.0
Other Current Liab,53272000.0,69445000.0,81984000.0,93542000.0,98860000.0,103721000.0,175661000.0,178863000.0,187567000.0
Total Assets,2767625000.0,2974075000.0,3235423000.0,3422138000.0,3706926000.0,4100430000.0,4877780000.0,5151533000.0,5472951000.0
Common Stock,720000.0,720000.0,721000.0,723000.0,723000.0,724000.0,725000.0,727000.0,727000.0
Retained Earnings,1190749000.0,1306530000.0,1432565000.0,1581681000.0,1710464000.0,1834477000.0,1965957000.0,2067868000.0,2210582000.0
Other Liab,182949000.0,191581000.0,249166000.0,217792000.0,266220000.0,293579000.0,467275000.0,372239000.0,368471000.0
Good Will,796169000.0,815624000.0,855228000.0,849294000.0,1109908000.0,1174315000.0,1409674000.0,1412187000.0,1388051000.0
Treasury Stock,-606057000.0,-595668000.0,-568534000.0,-591977000.0,-598180000.0,-616291000.0,-705847000.0,-720351000.0,-760249000.0
Other Assets,2129000.0,3596000.0,12473000.0,1360000.0,2246000.0,3813000.0,36362000.0,11779000.0,14091000.0
Cash,396734000.0,513944000.0,655128000.0,744814000.0,390086000.0,423726000.0,147339000.0,206023000.0,467140000.0
Total Current Liabilities,486720000.0,556258000.0,641524000.0,710265000.0,836249000.0,1018014000.0,1155907000.0,1253158000.0,1172176000.0
Deferred Long Term Asset Charges,2129000.0,3596000.0,1497000.0,1360000.0,2246000.0,3813000.0,15740000.0,11779000.0,14091000.0
Short Long Term Debt,1010000.0,1313000.0,1836000.0,1756000.0,1783000.0,1967000.0,1721000.0,1292000.0,808000.0
Other Stockholder Equity,-274642000.0,-264155000.0,-236370000.0,-233615000.0,-239699000.0,-257657000.0,-256871000.0,-248518000.0,-284955000.0
Property Plant Equipment,395590000.0,398364000.0,405966000.0,432895000.0,462706000.0,515525000.0,542118000.0,593606000.0,608212000.0
Total Current Assets,1297106000.0,1480336000.0,1669733000.0,1857607000.0,1692533000.0,1923572000.0,1848464000.0,2125401000.0,2491311000.0
Net Tangible Assets,24930000.0,138413000.0,243042000.0,394454000.0,106459000.0,124552000.0,-237062000.0,-112613000.0,59542000.0
Net Receivables,322937000.0,398240000.0,374906000.0,428702000.0,480889000.0,510670000.0,546466000.0,609870000.0,692291000.0
Long Term Debt,852371000.0,816428000.0,816704000.0,816809000.0,816001000.0,818451000.0,867125000.0,977731000.0,1261765000.0
Inventory,544372000.0,532952000.0,603317000.0,644576000.0,772861000.0,934948000.0,1089705000.0,1236772000.0,1240524000.0
Accounts Payable,230229000.0,272745000.0,330247000.0,387933000.0,526375000.0,611181000.0,674208000.0,697486000.0,614009000.0
Deferred Long Term Liab,,,6869000.0,,,,8479000.0,,
Other Current Assets,906000.0,1522000.0,1386000.0,797000.0,390000.0,55000.0,,,
