,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-384200000.0,-372500000.0,-1138800000.0,-463100000.0,-1179600000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-499300000.0,-930100000.0,-1393500000.0,-267700000.0,-1340600000.0
Net Borrowings,-63500000.0,30700000.0,348800000.0,14100000.0,88100000.0
Total Cash From Financing Activities,-687800000.0,-589800000.0,-223000000.0,-88700000.0,-168900000.0
Change To Operating Activities,355600000.0,1080500000.0,243700000.0,1671800000.0,163500000.0
Issuance Of Stock,10800000.0,4600000.0,6100000.0,4400000.0,3800000.0
Net Income,994200000.0,523400000.0,1100300000.0,793000000.0,824200000.0
Change In Cash,-23000000.0,16600000.0,-9900000.0,112900000.0,-122000000.0
Repurchase Of Stock,-401800000.0,-356200000.0,-400300000.0,-50000000.0,-50000000.0
Total Cash From Operating Activities,1164100000.0,1536500000.0,1606600000.0,469300000.0,1387500000.0
Depreciation,103400000.0,101400000.0,110100000.0,113600000.0,119800000.0
Other Cashflows From Investing Activities,-9800000.0,-268100000.0,-103800000.0,314500000.0,-50700000.0
Dividends Paid,-196000000.0,-215600000.0,-229200000.0,-231900000.0,-239400000.0
Change To Account Receivables,-101800000.0,-4700000.0,37500000.0,242900000.0,678000000.0
Other Cashflows From Financing Activities,-37300000.0,-53300000.0,51600000.0,124700000.0,28600000.0
Change To Netincome,-212900000.0,-125000000.0,-133200000.0,-2320700000.0,-693300000.0
Capital Expenditures,-105300000.0,-144100000.0,-150900000.0,-119100000.0,-110300000.0
