,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Change To Liabilities,130900000.0,30400000.0,4200000.0,70800000.0,156700000.0,3500000.0
Total Cashflows From Investing Activities,-659300000.0,-249300000.0,-433500000.0,-441700000.0,-2653700000.0,-110400000.0
Net Borrowings,85000000.0,-50000000.0,415700000.0,329100000.0,2094300000.0,-95500000.0
Total Cash From Financing Activities,-311700000.0,-449900000.0,-173100000.0,51200000.0,1797800000.0,-370800000.0
Change To Operating Activities,-61900000.0,17200000.0,-111800000.0,-294200000.0,-400100000.0,-618500000.0
Issuance Of Stock,60900000.0,52000000.0,31100000.0,41800000.0,35300000.0,60200000.0
Net Income,326800000.0,427900000.0,482100000.0,462500000.0,547500000.0,539100000.0
Change In Cash,-456700000.0,-7200000.0,9200000.0,203400000.0,-202100000.0,-49900000.0
Repurchase Of Stock,-342800000.0,-277100000.0,-397800000.0,-69300000.0,-21500000.0,-22800000.0
Effect Of Exchange Rate,-1600000.0,-1600000.0,-1100000.0,-4300000.0,13800000.0,-12200000.0
Total Cash From Operating Activities,515900000.0,693600000.0,617000000.0,598200000.0,640100000.0,443500000.0
Depreciation,182200000.0,212000000.0,260000000.0,299300000.0,334700000.0,464000000.0
Other Cashflows From Investing Activities,-6900000.0,-3100000.0,-6200000.0,-3900000.0,32600000.0,-24000000.0
Dividends Paid,-152200000.0,-165800000.0,-211200000.0,-241000000.0,-261700000.0,-290700000.0
Change To Account Receivables,-44400000.0,-18600000.0,-34900000.0,-33500000.0,-42400000.0,-85400000.0
Other Cashflows From Financing Activities,37400000.0,-9000000.0,-10900000.0,-9400000.0,-48600000.0,-22000000.0
Change To Netincome,-17700000.0,24700000.0,17400000.0,93300000.0,43700000.0,140800000.0
Capital Expenditures,-85400000.0,-76700000.0,-50600000.0,-62700000.0,-51900000.0,-29000000.0
