,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30
Investments,11000000.0,-16000000.0,-19000000.0,-8000000.0,-6000000.0,-52000000.0,-27000000.0
Change To Liabilities,135000000.0,565000000.0,-705000000.0,1023000000.0,424000000.0,1142000000.0,-1554000000.0
Total Cashflows From Investing Activities,-1547000000.0,-1802000000.0,579000000.0,-1966000000.0,-1715000000.0,-2648000000.0,648000000.0
Net Borrowings,-2394000000.0,-2176000000.0,-379000000.0,1401000000.0,612000000.0,816000000.0,-605000000.0
Total Cash From Financing Activities,-2619000000.0,-2704000000.0,-933000000.0,492000000.0,-410000000.0,-227000000.0,-1577000000.0
Change To Operating Activities,30000000.0,-625000000.0,-14000000.0,9000000.0,18000000.0,-356000000.0,-1010000000.0
Issuance Of Stock,41000000.0,220000000.0,71000000.0,45000000.0,20000000.0,12000000.0,11000000.0
Net Income,811000000.0,758000000.0,1224000000.0,1789000000.0,1667000000.0,1283000000.0,903000000.0
Change In Cash,-703000000.0,-1128000000.0,-108000000.0,217000000.0,358000000.0,486000000.0,-3556000000.0
Repurchase Of Stock,-487000000.0,-487000000.0,-352000000.0,-692000000.0,-736000000.0,-758000000.0,-623000000.0
Effect Of Exchange Rate,182000000.0,-48000000.0,103000000.0,48000000.0,-45000000.0,-51000000.0,-74000000.0
Total Cash From Operating Activities,3281000000.0,3426000000.0,143000000.0,1643000000.0,2528000000.0,3412000000.0,-2553000000.0
Depreciation,547000000.0,371000000.0,538000000.0,516000000.0,515000000.0,360000000.0,486000000.0
Other Cashflows From Investing Activities,-1465000000.0,-1443000000.0,605000000.0,-1873000000.0,-1590000000.0,-2077000000.0,804000000.0
Dividends Paid,-237000000.0,-238000000.0,-242000000.0,-238000000.0,-281000000.0,-279000000.0,-327000000.0
Change To Inventory,495000000.0,398000000.0,-926000000.0,-267000000.0,-624000000.0,-680000000.0,-1297000000.0
Change To Account Receivables,1117000000.0,1383000000.0,-97000000.0,-1027000000.0,680000000.0,1413000000.0,-106000000.0
Other Cashflows From Financing Activities,-29000000.0,-23000000.0,-31000000.0,-24000000.0,-25000000.0,-18000000.0,-33000000.0
Change To Netincome,-31000000.0,439000000.0,-7000000.0,-324000000.0,-132000000.0,152000000.0,209000000.0
Capital Expenditures,-505000000.0,-750000000.0,-448000000.0,-636000000.0,-618000000.0,-878000000.0,-584000000.0
