,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,42003000000.0,41564000000.0,40539000000.0,39999000000.0,39523000000.0,38842000000.0,38516000000.0
Total Liab,92590000000.0,92289000000.0,88269000000.0,87266000000.0,86087000000.0,85803000000.0,86705000000.0
Total Stockholder Equity,67225000000.0,68379000000.0,72163000000.0,71710000000.0,71115000000.0,71308000000.0,73068000000.0
Minority Interest,1702000000.0,1731000000.0,1721000000.0,1632000000.0,1636000000.0,1661000000.0,1631000000.0
Other Current Liab,12697000000.0,12581000000.0,13958000000.0,13062000000.0,12693000000.0,12776000000.0,14020000000.0
Total Assets,161517000000.0,162399000000.0,162153000000.0,160608000000.0,158838000000.0,158772000000.0,161404000000.0
Common Stock,36735000000.0,36833000000.0,36930000000.0,36997000000.0,37183000000.0,37343000000.0,37483000000.0
Other Current Assets,5604000000.0,3935000000.0,5978000000.0,4200000000.0,3883000000.0,4653000000.0,4018000000.0
Retained Earnings,49744000000.0,50017000000.0,49423000000.0,49460000000.0,48954000000.0,50343000000.0,50265000000.0
Other Liab,24366000000.0,23830000000.0,19879000000.0,19420000000.0,19814000000.0,19363000000.0,18272000000.0
Good Will,53269000000.0,53524000000.0,54285000000.0,54265000000.0,54394000000.0,53789000000.0,54436000000.0
Treasury Stock,-19254000000.0,-18471000000.0,-14190000000.0,-14747000000.0,-15022000000.0,-16378000000.0,-14680000000.0
Other Assets,3701000000.0,3729000000.0,3967000000.0,4058000000.0,4414000000.0,4796000000.0,6624000000.0
Cash,6975000000.0,10001000000.0,8802000000.0,8579000000.0,8051000000.0,7476000000.0,7832000000.0
Total Current Liabilities,35291000000.0,35562000000.0,35848000000.0,36359000000.0,34794000000.0,34131000000.0,35449000000.0
Short Long Term Debt,1297000000.0,1307000000.0,550000000.0,1369000000.0,1370000000.0,274000000.0,24000000.0
Other Stockholder Equity,-8856000000.0,-8064000000.0,-3783000000.0,-3967000000.0,-3598000000.0,-3980000000.0,-1953000000.0
Property Plant Equipment,16907000000.0,16757000000.0,16842000000.0,16655000000.0,16565000000.0,16393000000.0,16930000000.0
Total Current Assets,42274000000.0,43511000000.0,43376000000.0,42552000000.0,40879000000.0,41992000000.0,42050000000.0
Net Tangible Assets,-28047000000.0,-26709000000.0,-22661000000.0,-22554000000.0,-22802000000.0,-21323000000.0,-19884000000.0
Net Receivables,19439000000.0,19732000000.0,19185000000.0,20275000000.0,19397000000.0,20437000000.0,21022000000.0
Long Term Debt,31145000000.0,31178000000.0,30962000000.0,29831000000.0,29815000000.0,30668000000.0,31226000000.0
Inventory,10256000000.0,9843000000.0,9411000000.0,9498000000.0,9548000000.0,9426000000.0,9178000000.0
Accounts Payable,7182000000.0,8143000000.0,8639000000.0,9182000000.0,8043000000.0,8667000000.0,8751000000.0
Deferred Long Term Liab,1808000000.0,1912000000.0,1981000000.0,,,,1974000000.0
Deferred Long Term Asset Charges,732000000.0,699000000.0,,,,,
