,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,11427000.0,348798000.0,17294000.0,21208000.0
Capital Surplus,6611150000.0,6617404000.0,6609573000.0,6599069000.0
Total Liab,134034552000.0,126413822000.0,122525730000.0,123591864000.0
Total Stockholder Equity,15196508000.0,14937283000.0,14851013000.0,14695105000.0
Total Assets,150481060000.0,142601105000.0,138626743000.0,139536969000.0
Common Stock,79871000.0,79871000.0,79871000.0,79871000.0
Other Current Assets,1332658000.0,1495936000.0,1357751000.0,1095859000.0
Retained Earnings,13731893000.0,13444428000.0,13132374000.0,12919345000.0
Other Liab,1843462000.0,1498688000.0,1653294000.0,1991044000.0
Good Will,4593112000.0,4593112000.0,4593112000.0,4593112000.0
Treasury Stock,-5226406000.0,-5204420000.0,-4970805000.0,-4903180000.0
Other Assets,103293341000.0,101540738000.0,100739471000.0,100527441000.0
Cash,1259989000.0,1552743000.0,1489232000.0,1354815000.0
Total Current Liabilities,128692587000.0,121021058000.0,115413551000.0,115279529000.0
Other Stockholder Equity,-137313000.0,-61688000.0,176830000.0,245938000.0
Property Plant Equipment,1148941000.0,1161558000.0,1146681000.0,1155281000.0
Total Current Assets,34823572000.0,27911202000.0,24407181000.0,24785583000.0
Long Term Investments,6610667000.0,7045697000.0,7723004000.0,8454344000.0
Net Tangible Assets,10591969000.0,10330006000.0,10240607000.0,10080785000.0
Short Term Investments,31407227000.0,23663810000.0,20197937000.0,20888341000.0
Net Receivables,61000000.0,67000000.0,61000000.0,60000000.0
Long Term Debt,3498503000.0,3532201000.0,5458885000.0,6321291000.0
Inventory,29797000.0,34668000.0,49872000.0,66763000.0
Accounts Payable,128476365000.0,119805738000.0,115163339000.0,114967959000.0
Short Long Term Debt,,849992000.0,,
