,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,241054000.0,372136000.0,471140000.0,447249000.0,458069000.0,495460000.0,457968000.0,362174000.0,217522000.0,646596000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,-11446548000.0,1387797000.0,-2803652000.0,-7358113000.0,-2016931000.0,-4902757000.0,-4173812000.0,3458120000.0,9825512000.0,
Total Cashflows From Investing Activities,-15091885000.0,967256000.0,-4043489000.0,-8931747000.0,-50625000.0,-1195802000.0,-3453425000.0,4195580000.0,9842984000.0,
Net Borrowings,-8184000.0,-856791000.0,-1046623000.0,-853470000.0,32231000.0,21764000.0,-56552000.0,3212000.0,-975903000.0,
Total Cash From Financing Activities,14622989000.0,-826827000.0,3442878000.0,7644256000.0,-335870000.0,778726000.0,2614362000.0,-5417467000.0,-10753539000.0,
Change To Operating Activities,17591000.0,-552893000.0,-193972000.0,131577000.0,-9160000.0,-188752000.0,-44748000.0,335357000.0,204110000.0,
Change In Cash,56623000.0,134417000.0,63511000.0,-292754000.0,150479000.0,69244000.0,-142135000.0,73883000.0,276814000.0,
Repurchase Of Stock,,,,,,,-600000000.0,-600000000.0,-600000000.0,
Total Cash From Operating Activities,525519000.0,-6012000.0,664122000.0,994737000.0,536974000.0,486320000.0,696928000.0,1295770000.0,1187369000.0,
Depreciation,76885000.0,85510000.0,80233000.0,79805000.0,79276000.0,84364000.0,80763000.0,83311000.0,122276000.0,
Other Cashflows From Investing Activities,-223323000.0,153901000.0,-283867000.0,-179350000.0,-138139000.0,-70816000.0,-121997000.0,-215201000.0,-109393000.0,
Dividends Paid,-154332000.0,-162802000.0,-154720000.0,-163332000.0,-154559000.0,-163038000.0,-167531000.0,-187375000.0,-229493000.0,
Other Cashflows From Financing Activities,14785505000.0,192766000.0,4644221000.0,8661058000.0,-213542000.0,425000000.0,2838445000.0,-5233304000.0,-8948143000.0,
Change To Netincome,281911000.0,113318000.0,162239000.0,13440000.0,-7889000.0,-5575000.0,10306000.0,9635000.0,217632000.0,
Capital Expenditures,-42104000.0,-31719000.0,-46919000.0,-31016000.0,-13443000.0,-42706000.0,-62048000.0,-27910000.0,-59832000.0,
