,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Capital Surplus,6944805000.0,6921631000.0,6876326000.0,6864185000.0,6862879000.0,6875508000.0,6915981000.0,6930072000.0,6875863000.0
Total Liab,6791289000.0,7102841000.0,6720746000.0,6542951000.0,6575470000.0,6624044000.0,6786699000.0,6592356000.0,6518213000.0
Total Stockholder Equity,6166074000.0,6082997000.0,6000410000.0,6025176000.0,5953455000.0,5949232000.0,5993603000.0,5956983000.0,5827847000.0
Minority Interest,220048000.0,215204000.0,215021000.0,222077000.0,218274000.0,215365000.0,217571000.0,220962000.0,211951000.0
Deferred Long Term Liab,4200000.0,3900000.0,3700000.0,3300000.0,3000000.0,4600000.0,4400000.0,4100000.0,3800000.0
Other Current Liab,194938000.0,175957000.0,206279000.0,180674000.0,177570000.0,207450000.0,210294000.0,217506000.0,227496000.0
Total Assets,13177411000.0,13401042000.0,12936177000.0,12790204000.0,12747199000.0,12788641000.0,12997873000.0,12770301000.0,12558011000.0
Common Stock,7000.0,7000.0,6000.0,6000.0,7000.0,7000.0,7000.0,7000.0,7000.0
Other Current Assets,83460000.0,86291000.0,107290000.0,94062000.0,60505000.0,69532000.0,61882000.0,62937000.0,74658000.0
Other Liab,37073000.0,36736000.0,36740000.0,36694000.0,38068000.0,38946000.0,39969000.0,40705000.0,42027000.0
Treasury Stock,-778738000.0,-838641000.0,-875922000.0,-839015000.0,-909431000.0,-926283000.0,-922385000.0,-973096000.0,-1048023000.0
Other Assets,4200000.0,3900000.0,3700000.0,3300000.0,3000000.0,4600000.0,4400000.0,4100000.0,3800000.0
Cash,246204000.0,558446000.0,73629000.0,103442000.0,48155000.0,49910000.0,48420000.0,98107000.0,37756000.0
Total Current Liabilities,357761000.0,379177000.0,566448000.0,388991000.0,336665000.0,426171000.0,438820000.0,479515000.0,438381000.0
Short Long Term Debt,1983000.0,1000000.0,203451000.0,52644000.0,1774000.0,893000.0,43188000.0,42284000.0,41369000.0
Other Stockholder Equity,-778738000.0,-838641000.0,-875922000.0,-839015000.0,-909431000.0,-926283000.0,-922385000.0,-973096000.0,-1048023000.0
Property Plant Equipment,11635608000.0,11523767000.0,11385976000.0,11194614000.0,11183632000.0,11185613000.0,11163607000.0,11085493000.0,11018704000.0
Total Current Assets,374412000.0,720169000.0,376023000.0,464400000.0,347515000.0,333427000.0,451335000.0,366464000.0,287759000.0
Long Term Investments,1163191000.0,1153206000.0,1165778000.0,1127890000.0,1213052000.0,1265001000.0,1369631000.0,1314244000.0,1247748000.0
Net Tangible Assets,6166074000.0,6082997000.0,5995710000.0,6025176000.0,5953455000.0,5949232000.0,5984703000.0,5956983000.0,5827847000.0
Net Receivables,44748000.0,75432000.0,195104000.0,266896000.0,238855000.0,213985000.0,341033000.0,205420000.0,175345000.0
Long Term Debt,6320829000.0,6612084000.0,6050484000.0,6044065000.0,6128374000.0,6087407000.0,6244222000.0,6002335000.0,5968881000.0
Accounts Payable,160840000.0,202220000.0,149755000.0,155673000.0,157321000.0,217828000.0,178351000.0,219725000.0,169516000.0
Intangible Assets,,,4700000.0,,,,8900000.0,,
