,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,400000.0,100000.0,1200000.0,4700000.0,8900000.0
Capital Surplus,7129571000.0,7093079000.0,7121927000.0,6876326000.0,6915981000.0
Total Liab,6059675000.0,5954277000.0,6264491000.0,6720746000.0,6786699000.0
Total Stockholder Equity,6277406000.0,6267073000.0,6220427000.0,6000410000.0,5993603000.0
Minority Interest,158625000.0,162246000.0,220487000.0,215021000.0,217571000.0
Deferred Long Term Liab,3200000.0,3900000.0,3800000.0,3700000.0,4400000.0
Other Current Liab,252348000.0,194074000.0,188196000.0,206279000.0,210294000.0
Total Assets,12495706000.0,12383596000.0,12705405000.0,12936177000.0,12997873000.0
Common Stock,7000.0,7000.0,7000.0,6000.0,7000.0
Other Current Assets,46661000.0,46569000.0,45942000.0,107290000.0,61882000.0
Other Liab,,33375000.0,36365000.0,36740000.0,39969000.0
Treasury Stock,-852172000.0,-826013000.0,-901507000.0,-875922000.0,-922385000.0
Other Assets,3200000.0,3900000.0,3800000.0,3700000.0,4400000.0
Cash,44620000.0,134465000.0,70087000.0,73629000.0,48420000.0
Total Current Liabilities,370549000.0,314960000.0,342313000.0,566448000.0,438820000.0
Short Long Term Debt,202131000.0,,,203451000.0,43188000.0
Other Stockholder Equity,-852172000.0,-826013000.0,-901507000.0,-875922000.0,-922385000.0
Property Plant Equipment,10948511000.0,10611182000.0,10969479000.0,11385976000.0,11163607000.0
Total Current Assets,197607000.0,258729000.0,251394000.0,376023000.0,451335000.0
Long Term Investments,1345988000.0,1509685000.0,1479532000.0,1165778000.0,1369631000.0
Net Tangible Assets,6277006000.0,6266973000.0,6219227000.0,5995710000.0,5984703000.0
Net Receivables,100926000.0,71895000.0,134365000.0,195104000.0,341033000.0
Long Term Debt,5689126000.0,5605942000.0,5809073000.0,6050484000.0,6244222000.0
Accounts Payable,118201000.0,120886000.0,154117000.0,149755000.0,178351000.0
