Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,103.849998,104.300003,100.290001,101.589996,101.589996,25965900,,
2021-06-02-00-00-00,101.95,102.97,100.53,102.12,,20794700,0.0,0.0
2021-06-03-00-00-00,99.49,100.67,97.38,98.91,,30258000,0.0,0.0
2021-06-04-00-00-00,100.63,104.39,100.53,103.98,,22793800,0.0,0.0
2021-06-07-00-00-00,103.43,104.97,102.81,104.9,,15548300,0.0,0.0
2021-06-08-00-00-00,106.58,107.42,103.43,105.02,,23236100,0.0,0.0
2021-06-09-00-00-00,106.36,107.12,104.93,105.14,,19450900,0.0,0.0
2021-06-10-00-00-00,105.43,108.5,105.0,108.36,,29301700,0.0,0.0
2021-06-11-00-00-00,108.41999799999999,109.239998,107.760002,109.220001,109.220001,17066500,,
2021-06-14-00-00-00,109.64,112.37,108.5,112.28,,22705800,0.0,0.0
2021-06-15-00-00-00,112.02,112.34,109.46,110.2,,22527000,0.0,0.0
2021-06-16-00-00-00,110.62,111.67,105.52,109.02,,39444500,0.0,0.0
2021-06-17-00-00-00,107.96,114.08,107.93,113.09,,36080900,0.0,0.0
2021-06-18-00-00-00,111.41,112.58,109.68,110.39,,35723600,0.0,0.0
2021-06-21-00-00-00,110.63,112.8,108.39,112.41,,26927100,0.0,0.0
2021-06-22-00-00-00,112.309998,116.050003,111.970001,115.550003,115.550003,25836900,,
2021-06-23-00-00-00,115.57,116.959999,114.93,115.75,115.75,23435400,,
2021-06-24-00-00-00,117.739998,119.489998,117.190002,117.879997,117.879997,23366000,,
2021-06-25-00-00-00,118.489998,118.75,116.849998,117.510002,117.510002,21725000,,
2021-06-28-00-00-00,118.769997,121.879997,118.739998,121.66999799999999,121.66999799999999,22101100,,
2021-06-29-00-00-00,121.56,123.08,120.67,123.04,,18640000,0.0,0.0
2021-06-30-00-00-00,122.89,123.3,121.85,122.5,,20136700,0.0,0.0
