,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-87918000.0,-75466000.0,-192520000.0,-110771000.0,32246000.0,-1434000.0,-10118000.0,-130222000.0
Total Cashflows From Investing Activities,-50795000.0,-69411000.0,-8399000.0,-48636000.0,-73648000.0,-106856000.0,-113283000.0,-97215000.0
Net Borrowings,1412728000.0,10049000.0,274109000.0,-1120534000.0,-42291000.0,-185548000.0,184595000.0,-16943000.0
Total Cash From Financing Activities,1397893000.0,589000.0,226766000.0,-285440000.0,-44409000.0,-225720000.0,167567000.0,10872000.0
Net Income,-637564000.0,-758142000.0,-269502000.0,-280978000.0,-131369000.0,-166249000.0,-177190000.0,-183324000.0
Change In Cash,916686000.0,-242843000.0,-73360000.0,-589113000.0,-88186000.0,-325931000.0,47913000.0,-204653000.0
Repurchase Of Stock,-2910000.0,-1100000.0,-1996000.0,-4356000.0,-210000.0,-6441000.0,-2838000.0,-11667000.0
Effect Of Exchange Rate,1075000.0,-929000.0,-381000.0,-1131000.0,2772000.0,-3330000.0,-612000.0,-925000.0
Total Cash From Operating Activities,-431487000.0,-173092000.0,-291346000.0,-253906000.0,27099000.0,9975000.0,-5759000.0,-117385000.0
Depreciation,179266000.0,183486000.0,184004000.0,185121000.0,183307000.0,177110000.0,170424000.0,184556000.0
Dividends Paid,-648000.0,-208000.0,-495000.0,-295000.0,-93000.0,-544000.0,-621000.0,-1163000.0
Change To Inventory,10444000.0,344000.0,11737000.0,-21411000.0,-14408000.0,-2558000.0,16878000.0,-4284000.0
Change To Account Receivables,56245000.0,105918000.0,-24233000.0,-22947000.0,-30852000.0,24070000.0,288000.0,11868000.0
Other Cashflows From Financing Activities,-11277000.0,-8152000.0,-44852000.0,-2154000.0,-1815000.0,-33187000.0,-13569000.0,40645000.0
Change To Netincome,40829000.0,363153000.0,-7994000.0,-9572000.0,-18414000.0,-27614000.0,-13197000.0,-3182000.0
Capital Expenditures,-52366000.0,-69411000.0,-29022000.0,-40270000.0,-69775000.0,-103043000.0,-77569000.0,-96343000.0
Issuance Of Stock,841899000.0,841899000.0,841899000.0,841899000.0,,,,
