Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,51.619999,51.66,49.84,50.98,50.98,16583800,,
2021-06-02-00-00-00,51.19,51.41,50.55,50.79,,13484200,0.0,0.0
2021-06-03-00-00-00,50.43,50.5,48.53,48.7,,14712900,0.0,0.0
2021-06-04-00-00-00,49.56,50.22,49.07,50.18,,10409800,0.0,0.0
2021-06-07-00-00-00,50.49,51.22,49.75,50.76,,16466200,0.0,0.0
2021-06-08-00-00-00,50.7,51.4,48.66,49.88,,19672700,0.0,0.0
2021-06-09-00-00-00,50.0,50.17,49.11,49.14,,12615200,0.0,0.0
2021-06-10-00-00-00,49.69,49.9,48.42,49.55,,14926500,0.0,0.0
2021-06-11-00-00-00,50.029999,50.360001000000004,49.535,50.009997999999996,50.009997999999996,12113400,,
2021-06-14-00-00-00,50.06,51.49,49.56,50.77,,15437300,0.0,0.0
2021-06-15-00-00-00,49.55,49.96,49.09,49.3,,20358600,0.0,0.0
2021-06-16-00-00-00,49.35,49.66,48.29,48.89,,18975800,0.0,0.0
2021-06-17-00-00-00,48.96,49.83,48.31,49.7,,18911400,0.0,0.0
2021-06-18-00-00-00,49.31,50.39,48.78,49.7,,20633500,0.0,0.0
2021-06-21-00-00-00,49.72,49.86,47.9,48.12,,30752200,0.0,0.0
2021-06-22-00-00-00,48.299999,49.34,47.75,49.049999,49.049999,19466600,,
2021-06-23-00-00-00,49.060001,50.77,49.009997999999996,50.509997999999996,50.509997999999996,19833300,,
2021-06-24-00-00-00,51.299999,51.549999,50.220001,50.82,50.82,12399600,,
2021-06-25-00-00-00,51.18,51.830002,50.529999,51.73,51.73,25713900,,
2021-06-28-00-00-00,51.75,52.360001000000004,50.365002000000004,51.110001000000004,51.110001000000004,22503100,,
2021-06-29-00-00-00,51.0,51.3,50.24,50.76,,14104200,0.0,0.0
2021-06-30-00-00-00,51.02,51.13,49.71,50.12,,18069400,0.0,0.0
