,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,646700000.0,-961500000.0,-272400000.0,-529700000.0,-309000000.0,-770500000.0,-490100000.0
Change To Liabilities,-22200000.0,-13600000.0,-4200000.0,30500000.0,18300000.0,-10700000.0,30500000.0
Total Cashflows From Investing Activities,536700000.0,-1025900000.0,-334300000.0,-597000000.0,-384700000.0,-838800000.0,-641000000.0
Total Cash From Financing Activities,47600000.0,85200000.0,-39800000.0,-102200000.0,58300000.0,68300000.0,18600000.0
Change To Operating Activities,68900000.0,-28800000.0,130300000.0,-144500000.0,-30500000.0,23600000.0,113000000.0
Issuance Of Stock,62700000.0,113900000.0,40900000.0,84000000.0,69700000.0,91100000.0,31700000.0
Net Income,68000000.0,313900000.0,365200000.0,426300000.0,517200000.0,380500000.0,380600000.0
Change In Cash,813400000.0,-666500000.0,252800000.0,-220800000.0,212900000.0,-268800000.0,-55800000.0
Repurchase Of Stock,-6200000.0,-10200000.0,-44200000.0,-178300000.0,-9600000.0,-13300000.0,-10400000.0
Effect Of Exchange Rate,-800000.0,-400000.0,-600000.0,800000.0,-3400000.0,300000.0,-1100000.0
Total Cash From Operating Activities,229900000.0,274600000.0,627500000.0,477600000.0,542700000.0,501400000.0,567700000.0
Depreciation,63800000.0,69200000.0,74000000.0,71700000.0,75600000.0,82000000.0,78100000.0
Change To Inventory,-54900000.0,-56900000.0,6900000.0,-41200000.0,-51200000.0,-96800000.0,-66800000.0
Change To Account Receivables,18700000.0,-79700000.0,-51500000.0,-14300000.0,-45300000.0,4900000.0,-87600000.0
Other Cashflows From Financing Activities,-8900000.0,-18500000.0,-36500000.0,-7900000.0,-1800000.0,-9500000.0,-2700000.0
Change To Netincome,83500000.0,66300000.0,102100000.0,144200000.0,53500000.0,112400000.0,113400000.0
Capital Expenditures,-110000000.0,-64400000.0,-61900000.0,-58600000.0,-75700000.0,-68300000.0,-150900000.0
