,2017-10-31,2018-10-31,2019-10-31,2020-10-31
Investments,-7000000.0,65000000.0,-13000000.0,-53000000.0
Change To Liabilities,992000000.0,-27000000.0,-525000000.0,-225000000.0
Total Cashflows From Investing Activities,-5349000000.0,-1880000000.0,-3457000000.0,-2578000000.0
Net Borrowings,-1506000000.0,-1676000000.0,1261000000.0,1899000000.0
Total Cash From Financing Activities,164000000.0,-5592000000.0,-1548000000.0,883000000.0
Change To Operating Activities,-3765000000.0,184000000.0,-537000000.0,-911000000.0
Net Income,344000000.0,1908000000.0,1049000000.0,-322000000.0
Change In Cash,-3850000000.0,-4508000000.0,-1008000000.0,545000000.0
Repurchase Of Stock,-2556000000.0,-3568000000.0,-2249000000.0,-355000000.0
Total Cash From Operating Activities,1335000000.0,2964000000.0,3997000000.0,2240000000.0
Depreciation,2525000000.0,2576000000.0,2535000000.0,2625000000.0
Other Cashflows From Investing Activities,-662000000.0,111000000.0,341000000.0,21000000.0
Dividends Paid,-428000000.0,-570000000.0,-608000000.0,-618000000.0
Change To Inventory,-542000000.0,-260000000.0,46000000.0,-527000000.0
Change To Account Receivables,457000000.0,-220000000.0,374000000.0,-461000000.0
Other Cashflows From Financing Activities,4546000000.0,106000000.0,-43000000.0,-43000000.0
Change To Netincome,1589000000.0,3319000000.0,2148000000.0,2183000000.0
Capital Expenditures,-3137000000.0,-2956000000.0,-2856000000.0,-2383000000.0
Issuance Of Stock,108000000.0,116000000.0,48000000.0,
