,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31
Intangible Assets,834000000.0,1103000000.0,993000000.0,950000000.0,892000000.0,1022000000.0,952000000.0,878000000.0,806000000.0
Capital Surplus,28275000000.0,28350000000.0,28427000000.0,28538000000.0,28632000000.0,28470000000.0,28422000000.0,28473000000.0,28351000000.0
Total Liab,42033000000.0,37919000000.0,37192000000.0,37521000000.0,39364000000.0,37682000000.0,37508000000.0,35742000000.0,37011000000.0
Total Stockholder Equity,16155000000.0,16049000000.0,16212000000.0,16560000000.0,17020000000.0,19971000000.0,20318000000.0,20532000000.0,20611000000.0
Minority Interest,51000000.0,47000000.0,47000000.0,51000000.0,53000000.0,46000000.0,47000000.0,50000000.0,53000000.0
Deferred Long Term Liab,74000000.0,76000000.0,81000000.0,82000000.0,86000000.0,95000000.0,102000000.0,106000000.0,115000000.0
Other Current Liab,4187000000.0,4280000000.0,4015000000.0,3953000000.0,3959000000.0,4816000000.0,3963000000.0,3883000000.0,3902000000.0
Total Assets,58239000000.0,54015000000.0,53451000000.0,54132000000.0,56437000000.0,57699000000.0,57873000000.0,56324000000.0,57675000000.0
Common Stock,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
Other Current Assets,2792000000.0,1782000000.0,2300000000.0,2180000000.0,2399000000.0,1498000000.0,2904000000.0,3046000000.0,3231000000.0
Retained Earnings,-8377000000.0,-8375000000.0,-8332000000.0,-8229000000.0,-7994000000.0,-5597000000.0,-5239000000.0,-5145000000.0,-4891000000.0
Other Liab,5791000000.0,6097000000.0,7298000000.0,7245000000.0,7234000000.0,6161000000.0,6758000000.0,6555000000.0,6504000000.0
Good Will,17298000000.0,17873000000.0,17873000000.0,17873000000.0,17948000000.0,18162000000.0,18159000000.0,18162000000.0,18164000000.0
Treasury Stock,-3756000000.0,-3939000000.0,-3896000000.0,-3762000000.0,-3631000000.0,-2915000000.0,-2878000000.0,-2809000000.0,-2862000000.0
Other Assets,3983000000.0,3989000000.0,5011000000.0,5269000000.0,5548000000.0,5415000000.0,6349000000.0,6331000000.0,6351000000.0
Cash,7788000000.0,3504000000.0,3452000000.0,3946000000.0,4317000000.0,3098000000.0,2866000000.0,2148000000.0,2778000000.0
Total Current Liabilities,21610000000.0,18738000000.0,17931000000.0,17980000000.0,19641000000.0,20687000000.0,20473000000.0,20190000000.0,21299000000.0
Short Long Term Debt,4598000000.0,2770000000.0,2713000000.0,2509000000.0,2741000000.0,2608000000.0,2868000000.0,3714000000.0,3872000000.0
Other Stockholder Equity,-3756000000.0,-3939000000.0,-3896000000.0,-3762000000.0,-3631000000.0,-2915000000.0,-2878000000.0,-2809000000.0,-2862000000.0
Property Plant Equipment,2660000000.0,2528000000.0,1566000000.0,1554000000.0,1567000000.0,2496000000.0,1585000000.0,1591000000.0,1657000000.0
Total Current Assets,21383000000.0,16556000000.0,16072000000.0,16703000000.0,18745000000.0,18878000000.0,19342000000.0,18172000000.0,19521000000.0
Long Term Investments,2807000000.0,2685000000.0,2714000000.0,2640000000.0,2691000000.0,2543000000.0,2490000000.0,2447000000.0,2454000000.0
Net Tangible Assets,-2121000000.0,-3071000000.0,-2798000000.0,-2407000000.0,-1964000000.0,643000000.0,1063000000.0,1348000000.0,1497000000.0
Net Receivables,2856000000.0,4073000000.0,2933000000.0,2936000000.0,3297000000.0,4926000000.0,3432000000.0,3122000000.0,3367000000.0
Long Term Debt,13676000000.0,12133000000.0,11963000000.0,12296000000.0,12489000000.0,9848000000.0,10277000000.0,8997000000.0,9208000000.0
Inventory,3469000000.0,2674000000.0,2791000000.0,3117000000.0,3942000000.0,4511000000.0,5321000000.0,5322000000.0,5554000000.0
Accounts Payable,6001000000.0,5383000000.0,5196000000.0,5533000000.0,6526000000.0,7004000000.0,6549000000.0,5671000000.0,6861000000.0
Deferred Long Term Asset Charges,,1778000000.0,,,,2023000000.0,,,
