,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31
Investments,-2000000.0,-1000000.0,-1000000.0,-7000000.0,-7000000.0,5000000.0,-3000000.0
Change To Liabilities,-25000000.0,37000000.0,43000000.0,8000000.0,-5000000.0,18000000.0,37000000.0
Total Cashflows From Investing Activities,-32000000.0,-27000000.0,-42000000.0,-587000000.0,-61000000.0,-59000000.0,-79000000.0
Net Borrowings,-161000000.0,35000000.0,134000000.0,427000000.0,-75000000.0,-130000000.0,
Total Cash From Financing Activities,-231000000.0,-269000000.0,-316000000.0,166000000.0,-222000000.0,-324000000.0,-546000000.0
Change To Operating Activities,30000000.0,72000000.0,-185000000.0,163000000.0,48000000.0,72000000.0,-170000000.0
Issuance Of Stock,24000000.0,4000000.0,25000000.0,1000000.0,26000000.0,3000000.0,27000000.0
Net Income,199000000.0,222000000.0,288000000.0,216000000.0,264000000.0,442000000.0,283000000.0
Change In Cash,35000000.0,83000000.0,-111000000.0,51000000.0,48000000.0,55000000.0,-374000000.0
Repurchase Of Stock,-34000000.0,-253000000.0,-416000000.0,-196000000.0,-114000000.0,-138000000.0,-510000000.0
Effect Of Exchange Rate,8000000.0,2000000.0,9000000.0,-3000000.0,-3000000.0,-3000000.0,-4000000.0
Total Cash From Operating Activities,290000000.0,377000000.0,238000000.0,472000000.0,334000000.0,441000000.0,255000000.0
Depreciation,77000000.0,76000000.0,76000000.0,77000000.0,84000000.0,84000000.0,82000000.0
Other Cashflows From Investing Activities,-6000000.0,-2000000.0,-2000000.0,-2000000.0,-3000000.0,-3000000.0,-1000000.0
Dividends Paid,-56000000.0,-55000000.0,-59000000.0,-59000000.0,-59000000.0,-59000000.0,-63000000.0
Change To Inventory,-1000000.0,18000000.0,-35000000.0,-45000000.0,-35000000.0,-21000000.0,-54000000.0
Change To Account Receivables,-24000000.0,-108000000.0,-31000000.0,14000000.0,-52000000.0,-59000000.0,-46000000.0
Change To Netincome,34000000.0,60000000.0,82000000.0,39000000.0,30000000.0,-95000000.0,123000000.0
Capital Expenditures,-25000000.0,-27000000.0,-41000000.0,-31000000.0,-54000000.0,-62000000.0,-75000000.0
Other Cashflows From Financing Activities,-4000000.0,-7000000.0,-7000000.0,-7000000.0,,,
