,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31
Change To Liabilities,85000000.0,398000000.0,280000000.0,235000000.0,625000000.0,117000000.0,2035000000.0
Total Cashflows From Investing Activities,-551000000.0,-85000000.0,-3000000.0,-312000000.0,-297000000.0,-400000000.0,-280000000.0
Net Borrowings,726000000.0,-23000000.0,-42000000.0,-24000000.0,948000000.0,394000000.0,-411000000.0
Total Cash From Financing Activities,-491000000.0,-1604000000.0,-1723000000.0,-1870000000.0,-781000000.0,-1588000000.0,-2282000000.0
Change To Operating Activities,231000000.0,514000000.0,-316000000.0,401000000.0,-587000000.0,173000000.0,-1107000000.0
Net Income,734000000.0,668000000.0,1068000000.0,1228000000.0,1108000000.0,3099000000.0,1086000000.0
Change In Cash,625000000.0,185000000.0,-704000000.0,-736000000.0,15000000.0,860000000.0,-905000000.0
Repurchase Of Stock,-953000000.0,-1340000000.0,-1378000000.0,-1610000000.0,-1507000000.0,-1754000000.0,-1508000000.0
Total Cash From Operating Activities,1667000000.0,1874000000.0,1022000000.0,1446000000.0,1093000000.0,2848000000.0,1657000000.0
Depreciation,197000000.0,196000000.0,203000000.0,186000000.0,196000000.0,200000000.0,197000000.0
Other Cashflows From Investing Activities,-240000000.0,77000000.0,-145000000.0,-9000000.0,275000000.0,27000000.0,14000000.0
Dividends Paid,-251000000.0,-238000000.0,-250000000.0,-239000000.0,-230000000.0,-219000000.0,-271000000.0
Change To Inventory,398000000.0,-139000000.0,-725000000.0,-830000000.0,-670000000.0,61000000.0,-1277000000.0
Change To Account Receivables,-157000000.0,-124000000.0,77000000.0,258000000.0,168000000.0,-583000000.0,337000000.0
Other Cashflows From Financing Activities,-13000000.0,-3000000.0,-53000000.0,3000000.0,8000000.0,-9000000.0,-92000000.0
Change To Netincome,268000000.0,270000000.0,365000000.0,137000000.0,135000000.0,-264000000.0,392000000.0
Capital Expenditures,-117000000.0,-116000000.0,-131000000.0,-121000000.0,-158000000.0,-172000000.0,-273000000.0
Investments,-230000000.0,-46000000.0,273000000.0,-12000000.0,-2000000.0,17000000.0,
Issuance Of Stock,3000000.0,3000000.0,3000000.0,3000000.0,,,
