,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31
Intangible Assets,572000000.0,540000000.0,525000000.0,572000000.0,741000000.0,784000000.0,716000000.0,651000000.0,595000000.0
Capital Surplus,958000000.0,963000000.0,984000000.0,1018000000.0,1050000000.0,1060000000.0,1046000000.0,1081000000.0,1130000000.0
Total Liab,36230000000.0,36909000000.0,37972000000.0,37909000000.0,39465000000.0,40260000000.0,41240000000.0,41799000000.0,41565000000.0
Total Stockholder Equity,-1986000000.0,-2228000000.0,-3235000000.0,-3360000000.0,-3942000000.0,-1650000000.0,-2328000000.0,-1898000000.0,-2318000000.0
Other Current Liab,5243000000.0,5137000000.0,6044000000.0,5478000000.0,5642000000.0,5532000000.0,5548000000.0,5235000000.0,5232000000.0
Total Assets,34244000000.0,34681000000.0,34737000000.0,34549000000.0,35523000000.0,38610000000.0,38912000000.0,39901000000.0,39247000000.0
Common Stock,14000000.0,13000000.0,13000000.0,12000000.0,12000000.0,11000000.0,11000000.0,10000000.0,10000000.0
Other Current Assets,169000000.0,226000000.0,62000000.0,85000000.0,157000000.0,278000000.0,361000000.0,789000000.0,732000000.0
Retained Earnings,-1353000000.0,-1961000000.0,-2759000000.0,-3070000000.0,-3871000000.0,-2461000000.0,-3369000000.0,-3336000000.0,-3695000000.0
Other Liab,4319000000.0,4239000000.0,4245000000.0,4087000000.0,3989000000.0,3818000000.0,3733000000.0,3711000000.0,3576000000.0
Good Will,6386000000.0,6380000000.0,6404000000.0,6524000000.0,6628000000.0,6803000000.0,6821000000.0,6801000000.0,6809000000.0
Treasury Stock,-1605000000.0,-1243000000.0,-1473000000.0,-1320000000.0,-1133000000.0,-260000000.0,-16000000.0,347000000.0,237000000.0
Other Assets,3197000000.0,3321000000.0,3719000000.0,3750000000.0,3882000000.0,4985000000.0,5074000000.0,5155000000.0,4968000000.0
Cash,4679000000.0,4864000000.0,4160000000.0,3424000000.0,3439000000.0,4299000000.0,3394000000.0,4477000000.0,5386000000.0
Total Current Liabilities,25026000000.0,26220000000.0,27880000000.0,28029000000.0,27667000000.0,29096000000.0,30199000000.0,28906000000.0,26809000000.0
Deferred Long Term Asset Charges,2506000000.0,2515000000.0,2497000000.0,2467000000.0,2581000000.0,2917000000.0,2886000000.0,2810000000.0,2605000000.0
Short Long Term Debt,232000000.0,611000000.0,1205000000.0,1191000000.0,181000000.0,662000000.0,662000000.0,665000000.0,658000000.0
Other Stockholder Equity,-1605000000.0,-1243000000.0,-1473000000.0,-1320000000.0,-1133000000.0,-260000000.0,-16000000.0,347000000.0,237000000.0
Property Plant Equipment,3757000000.0,3734000000.0,3651000000.0,3612000000.0,3614000000.0,3738000000.0,3793000000.0,3711000000.0,3770000000.0
Total Current Assets,20269000000.0,20648000000.0,20438000000.0,20091000000.0,20603000000.0,22170000000.0,22432000000.0,23515000000.0,22996000000.0
Long Term Investments,63000000.0,58000000.0,,,55000000.0,130000000.0,76000000.0,68000000.0,109000000.0
Net Tangible Assets,-8944000000.0,-9148000000.0,-10164000000.0,-10456000000.0,-11311000000.0,-9237000000.0,-9865000000.0,-9350000000.0,-9722000000.0
Net Receivables,8222000000.0,8443000000.0,8446000000.0,7864000000.0,7960000000.0,8849000000.0,8675000000.0,8255000000.0,7543000000.0
Long Term Debt,5981000000.0,5528000000.0,4944000000.0,4926000000.0,6931000000.0,6396000000.0,6397000000.0,8362000000.0,10344000000.0
Inventory,5896000000.0,5963000000.0,6668000000.0,7502000000.0,8165000000.0,7930000000.0,9018000000.0,8944000000.0,8192000000.0
Accounts Payable,14276000000.0,14704000000.0,14960000000.0,15228000000.0,15898000000.0,16075000000.0,18070000000.0,17004000000.0,15514000000.0
Deferred Long Term Liab,,34000000.0,,,,36000000.0,,,
Short Term Investments,,274000000.0,,12000000.0,8000000.0,5000000.0,,,
