,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,3742900000.0,3634700000.0,3323600000.0,3286400000.0,3305600000.0
Total Liab,10966400000.0,10850100000.0,13179900000.0,11729600000.0,11786700000.0
Total Stockholder Equity,7140300000.0,7022700000.0,7267600000.0,6407700000.0,6255900000.0
Minority Interest,66600000.0,42100000.0,44800000.0,19400000.0,17200000.0
Other Current Liab,295200000.0,317200000.0,1502800000.0,885800000.0,1044300000.0
Total Assets,18173300000.0,17914900000.0,20492300000.0,18156700000.0,18059800000.0
Common Stock,274000000.0,266400000.0,262800000.0,263300000.0,259700000.0
Other Current Assets,480800000.0,402400000.0,4485800000.0,131900000.0,186700000.0
Retained Earnings,8903200000.0,9439800000.0,9730800000.0,8495300000.0,8353200000.0
Other Liab,3181400000.0,2793700000.0,2688500000.0,2617700000.0,2246600000.0
Good Will,5935700000.0,5959500000.0,5125700000.0,5342800000.0,5504800000.0
Treasury Stock,-2498200000.0,-2683500000.0,-2726000000.0,-2350900000.0,-2357000000.0
Other Assets,824300000.0,857900000.0,927800000.0,809800000.0,889300000.0
Cash,1549400000.0,903400000.0,1278600000.0,3289900000.0,2159200000.0
Total Current Liabilities,4828000000.0,4315700000.0,5238600000.0,4338900000.0,4752400000.0
Short Long Term Debt,1100300000.0,350600000.0,650300000.0,775600000.0,350400000.0
Other Stockholder Equity,-778800000.0,-964100000.0,-1006600000.0,-631500000.0,-637600000.0
Property Plant Equipment,1551300000.0,1730800000.0,1821400000.0,1758500000.0,1835600000.0
Total Current Assets,6119100000.0,5732000000.0,9293800000.0,6905600000.0,6470900000.0
Long Term Investments,,,,53600000.0,53600000.0
Net Tangible Assets,-2538300000.0,-2571500000.0,-1181700000.0,-2221500000.0,-2554500000.0
Net Receivables,2533500000.0,2748400000.0,2250800000.0,2294600000.0,2594200000.0
Long Term Debt,2957000000.0,3740700000.0,4922900000.0,4496500000.0,4491700000.0
Inventory,1555400000.0,1677800000.0,1278600000.0,1189200000.0,1530800000.0
Accounts Payable,1556100000.0,1705300000.0,1381300000.0,1520200000.0,1787300000.0
Capital Surplus,461300000.0,,,,
