,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02
Investments,1000000.0,1000000.0,1000000.0,-1000000.0,-46000000.0,-96000000.0,-96000000.0,-96000000.0,-2000000.0
Change To Liabilities,0.0,-64000000.0,0.0,0.0,0.0,351000000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-266000000.0,-280000000.0,-259000000.0,-249000000.0,-275000000.0,841000000.0,-459000000.0,-426000000.0,-440000000.0
Net Borrowings,-102000000.0,-707000000.0,-1013000000.0,-1013000000.0,-22000000.0,-1012000000.0,-17000000.0,-1024000000.0,-28000000.0
Total Cash From Financing Activities,-255000000.0,-874000000.0,-173000000.0,-1172000000.0,-197000000.0,-1189000000.0,-484000000.0,-1283000000.0,-361000000.0
Change To Operating Activities,617000000.0,-52000000.0,580000000.0,-857000000.0,256000000.0,705000000.0,-82000000.0,-1373000000.0,-470000000.0
Issuance Of Stock,1000000.0,1000000.0,4000000.0,18000000.0,11000000.0,8000000.0,46000000.0,67000000.0,12000000.0
Net Income,527000000.0,613000000.0,467000000.0,476000000.0,749000000.0,1355000000.0,1121000000.0,829000000.0,750000000.0
Change In Cash,1010000000.0,19000000.0,969000000.0,-1463000000.0,836000000.0,829000000.0,491000000.0,-1913000000.0,-159000000.0
Repurchase Of Stock,-4000000.0,-7000000.0,-17000000.0,-17000000.0,-16000000.0,-17000000.0,-348000000.0,-163000000.0,-182000000.0
Effect Of Exchange Rate,1000000.0,7000000.0,16000000.0,-6000000.0,1000000.0,-7000000.0,2000000.0,4000000.0,-24000000.0
Total Cash From Operating Activities,1448000000.0,1166000000.0,1385000000.0,-36000000.0,1307000000.0,1184000000.0,1432000000.0,-208000000.0,666000000.0
Depreciation,290000000.0,312000000.0,295000000.0,300000000.0,300000000.0,300000000.0,298000000.0,292000000.0,295000000.0
Other Cashflows From Investing Activities,17000000.0,12000000.0,29000000.0,20000000.0,73000000.0,3000000.0,-51000000.0,109000000.0,38000000.0
Dividends Paid,-150000000.0,-150000000.0,-159000000.0,-159000000.0,-159000000.0,-159000000.0,-164000000.0,-164000000.0,-163000000.0
Change To Netincome,9000000.0,14000000.0,40000000.0,39000000.0,-881000000.0,-881000000.0,93000000.0,41000000.0,89000000.0
Capital Expenditures,-283000000.0,-292000000.0,-289000000.0,-268000000.0,-302000000.0,-350000000.0,-408000000.0,-439000000.0,-476000000.0
Other Cashflows From Financing Activities,-11000000.0,-11000000.0,-1000000.0,-1000000.0,-11000000.0,-9000000.0,-1000000.0,1000000.0,
Change To Inventory,86000000.0,86000000.0,-567000000.0,-567000000.0,-567000000.0,-567000000.0,,,
Change To Account Receivables,191000000.0,191000000.0,-508000000.0,-508000000.0,-508000000.0,-508000000.0,,,
