,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-6850000.0,-11400000.0,-11400000.0,-6500000.0,-56635000.0,-9018000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-113040000.0,-15920000.0,274691000.0,-158630000.0,151279000.0,-312434000.0
Net Borrowings,730228000.0,-740410000.0,-400988000.0,210659000.0,-67229000.0,271491000.0
Total Cash From Financing Activities,543154000.0,-924086000.0,-579525000.0,29490000.0,-300429000.0,93352000.0
Change To Operating Activities,101970000.0,-32487000.0,157639000.0,-159241000.0,127497000.0,-177432000.0
Issuance Of Stock,321000.0,321000.0,321000.0,17998000.0,17998000.0,1657000.0
Net Income,-7086000.0,38394000.0,247410000.0,45603000.0,275285000.0,67683000.0
Change In Cash,754496000.0,-755208000.0,53091000.0,-66119000.0,176984000.0,-154489000.0
Effect Of Exchange Rate,10723000.0,-3346000.0,-2514000.0,-5808000.0,5761000.0,-9542000.0
Total Cash From Operating Activities,313659000.0,188144000.0,360439000.0,68829000.0,320373000.0,74135000.0
Depreciation,155249000.0,181653000.0,115920000.0,167905000.0,168749000.0,177069000.0
Dividends Paid,-178159000.0,-178392000.0,-178437000.0,-180992000.0,-178832000.0,-179078000.0
Other Cashflows From Financing Activities,-8915000.0,-5284000.0,-421000.0,-177000.0,-72366000.0,-718000.0
Change To Netincome,47871000.0,18471000.0,-219484000.0,10435000.0,-255474000.0,2788000.0
Capital Expenditures,-103014000.0,-109004000.0,-129101000.0,-145528000.0,-150058000.0,-123390000.0
