,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,256768000.0,293137000.0,295560000.0,334833000.0,373106000.0,369687000.0,400374000.0,401000000.0,433000000.0,445000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,-153437000.0,654565000.0,335139000.0,-2533320000.0,-1008115000.0,-1328091000.0,-1405474000.0,-4423000000.0,-790000000.0,
Total Cashflows From Investing Activities,-4882877000.0,-3901862000.0,-7542199000.0,-8323245000.0,-6305262000.0,-6606743000.0,-7907750000.0,-10858000000.0,-11866000000.0,
Net Borrowings,-840000000.0,-1900000000.0,-1755000000.0,-1250000000.0,-1505000000.0,-1300000000.0,-4000000000.0,6800000000.0,6800000000.0,
Total Cash From Financing Activities,3920079000.0,4419476000.0,8833050000.0,12586367000.0,5140422000.0,10470337000.0,7593874000.0,5657000000.0,10241000000.0,
Change To Operating Activities,-92764000.0,345528000.0,-44993000.0,-207802000.0,-96887000.0,58976000.0,630713000.0,-228000000.0,-183000000.0,
Issuance Of Stock,5972000.0,4461000.0,231808000.0,338314000.0,7234000.0,449853000.0,8599000.0,12000000.0,8000000.0,
Change In Cash,-850208000.0,591979000.0,1403605000.0,3794738000.0,-1012540000.0,4402495000.0,667307000.0,-5191000000.0,-1519000000.0,
Repurchase Of Stock,-41006000.0,-2577000.0,-13147000.0,-9818000.0,-50389000.0,-23457000.0,-22336000.0,-14000000.0,-42000000.0,
Total Cash From Operating Activities,112590000.0,74365000.0,112754000.0,-468384000.0,152300000.0,538901000.0,981183000.0,10000000.0,106000000.0,
Depreciation,43132000.0,40906000.0,41541000.0,42777000.0,48935000.0,48405000.0,43883000.0,51000000.0,49000000.0,
Other Cashflows From Investing Activities,15619000.0,-410784000.0,-30418000.0,-224819000.0,-211711000.0,32672000.0,132858000.0,-18000000.0,-831000000.0,
Dividends Paid,-49892000.0,-49873000.0,-51434000.0,-54230000.0,-63598000.0,-63621000.0,-72551000.0,-77000000.0,-90000000.0,
Other Cashflows From Financing Activities,4845005000.0,5875504000.0,10520720000.0,12979273000.0,6752175000.0,10671838000.0,10958714000.0,5736000000.0,3565000000.0,
Change To Netincome,-94546000.0,-605206000.0,-179354000.0,-638192000.0,-172854000.0,61833000.0,-93787000.0,-214000000.0,-193000000.0,
Capital Expenditures,-29413000.0,-32545000.0,-47823000.0,-45811000.0,-44454000.0,-47542000.0,-60193000.0,-55000000.0,-49000000.0,
