,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-871640000.0,-85436000.0,-1726881000.0,-1683535000.0,-6172468000.0,-20908143000.0
Change To Liabilities,344271000.0,628306000.0,744540000.0,940861000.0,1550889000.0,1551398000.0
Total Cashflows From Investing Activities,-1187300000.0,-716254000.0,-3196394000.0,-3958277000.0,-8906821000.0,-24578111000.0
Net Borrowings,-10000000.0,9000000.0,3409768000.0,3409768000.0,5708636000.0,11226637000.0
Total Cash From Financing Activities,1024087000.0,675533000.0,4974810000.0,5078842000.0,8335419000.0,30389152000.0
Change To Operating Activities,-92326000.0,-100721000.0,-258806000.0,-341882000.0,299233000.0,-1208464000.0
Issuance Of Stock,4958945000.0,4958945000.0,4958945000.0,1657088000.0,2818024000.0,19288569000.0
Net Income,-1185150000.0,-571548000.0,-616325000.0,-1288973000.0,-3011704000.0,-6789228000.0
Change In Cash,-312574000.0,375684000.0,2777149000.0,1422629000.0,-284551000.0,2844999000.0
Effect Of Exchange Rate,49606000.0,-48145000.0,261447000.0,107513000.0,-466252000.0,-319034000.0
Total Cash From Operating Activities,-198967000.0,464550000.0,737286000.0,194551000.0,753103000.0,-2647008000.0
Depreciation,161518000.0,304398000.0,642445000.0,1168109000.0,1817876000.0,2603700000.0
Other Cashflows From Investing Activities,10109000.0,11000000.0,11000000.0,11000000.0,3500000.0,539225000.0
Change To Account Receivables,-92568000.0,-283218000.0,65612000.0,-398968000.0,-417237000.0,-429460000.0
Other Cashflows From Financing Activities,-12819000.0,-22536000.0,15865000.0,11986000.0,-191241000.0,-126054000.0
Change To Netincome,661077000.0,473819000.0,146112000.0,83173000.0,440374000.0,1522447000.0
Capital Expenditures,-42204000.0,-144906000.0,-293566000.0,-296044000.0,-602122000.0,-965410000.0
Repurchase Of Stock,-49086000.0,-49086000.0,,,,
