,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Intangible Assets,1657333000.0,1815081000.0,1988680000.0,2368253000.0,2356959000.0,2817368000.0,2881926000.0
Total Liab,7880107000.0,8446981000.0,14810449000.0,15936210000.0,16083404000.0,16169595000.0,17858433000.0
Total Stockholder Equity,7052484000.0,6598657000.0,8939966000.0,8212321000.0,7600200000.0,24071136000.0,25388713000.0
Minority Interest,583976000.0,725969000.0,721762000.0,197916000.0,182004000.0,167991000.0,46076000.0
Deferred Long Term Liab,443533000.0,495806000.0,556019000.0,666281000.0,667876000.0,684431000.0,811920000.0
Other Current Liab,1616904000.0,1653605000.0,1671710000.0,2228996000.0,2425285000.0,2310924000.0,2735683000.0
Total Assets,15516567000.0,15771607000.0,24472177000.0,24346447000.0,23865608000.0,40408722000.0,43293222000.0
Common Stock,208000.0,209000.0,8939966000.0,8212321000.0,224000.0,24071136000.0,25388713000.0
Other Current Assets,841987000.0,873308000.0,1935293000.0,1810870000.0,1073989000.0,3414654000.0,3944653000.0
Good Will,1012026000.0,1012026000.0,1012026000.0,1295786000.0,1295786000.0,1594781000.0,1594781000.0
Other Assets,520228000.0,783834000.0,885491000.0,1249769000.0,1478437000.0,1383052000.0,1754345000.0
Cash,4962660000.0,4445249000.0,6094270000.0,5927471000.0,4678109000.0,17601728000.0,11493570000.0
Total Current Liabilities,4272597000.0,4802663000.0,5575457000.0,7009757000.0,7391548000.0,7541849000.0,9398472000.0
Property Plant Equipment,751787000.0,481090000.0,698959000.0,787701000.0,761941000.0,901056000.0,1087260000.0
Total Current Assets,10324064000.0,10233412000.0,18264568000.0,17096169000.0,15739547000.0,31544905000.0,32894665000.0
Long Term Investments,1251129000.0,1446164000.0,1622453000.0,1548769000.0,2232938000.0,2167560000.0,3080245000.0
Net Tangible Assets,4383125000.0,3771550000.0,5939260000.0,4548282000.0,3947455000.0,19658987000.0,20912006000.0
Short Term Investments,3131669000.0,3532171000.0,9461796000.0,8171657000.0,8128939000.0,9435779000.0,16078658000.0
Net Receivables,1098286000.0,1109659000.0,773209000.0,1186171000.0,1412441000.0,1092744000.0,1377784000.0
Long Term Debt,3221578000.0,3470785000.0,9037440000.0,8699504000.0,8340922000.0,8312464000.0,8174278000.0
Accounts Payable,1904042000.0,2132377000.0,2627802000.0,2932801000.0,3074298000.0,3099553000.0,3627701000.0
Capital Surplus,10718190000.0,10772444000.0,,,14616302000.0,,
Retained Earnings,-4132143000.0,-4684014000.0,,,-7157455000.0,,
Other Liab,192882000.0,173533000.0,197552000.0,226949000.0,47545000.0,,
Treasury Stock,466229000.0,510018000.0,,,141129000.0,,
Deferred Long Term Asset Charges,10479000.0,11710000.0,,,20918000.0,,
Other Stockholder Equity,466229000.0,510018000.0,,,141129000.0,,
Inventory,78972000.0,47907000.0,,,179976000.0,,
