,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Net Income,-382841000.0,-535241000.0,-566648000.0,-1082016000.0,-827799000.0,-903555000.0,-1120578000.0,-2677081000.0,-2088014000.0,-2281982000.0,-2006927000.0
Change To Liabilities,0.0,167418000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,-752795000.0,-752795000.0,,,,,,,,,
Total Cashflows From Investing Activities,-1037040000.0,-1037040000.0,,,,,,,,,
Net Borrowings,100000000.0,100000000.0,,,,,,,,,
Total Cash From Financing Activities,188783000.0,188783000.0,,,,,,,,,
Change To Operating Activities,74503000.0,74503000.0,,,,,,,,,
Issuance Of Stock,1000.0,1000.0,,,,,,,,,
Change In Cash,-517411000.0,-517411000.0,,,,,,,,,
Effect Of Exchange Rate,42181000.0,42181000.0,,,,,,,,,
Total Cash From Operating Activities,288665000.0,288665000.0,,,,,,,,,
Depreciation,360910000.0,360910000.0,,,,,,,,,
Change To Account Receivables,134130000.0,134130000.0,,,,,,,,,
Other Cashflows From Financing Activities,88782000.0,88782000.0,,,,,,,,,
Change To Netincome,97698000.0,97698000.0,,,,,,,,,
Capital Expenditures,-66826000.0,-66826000.0,,,,,,,,,
