,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-6319000000.0,-1672000000.0,-5297000000.0,2471000000.0,1382000000.0,4276000000.0,
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,3907000000.0,2996000000.0,-8923000000.0,-2487000000.0,-9221000000.0,-4819000000.0,
Net Borrowings,-16167000000.0,-8639000000.0,-557000000.0,21973000000.0,19672000000.0,-11771000000.0,
Total Cash From Financing Activities,34850000000.0,-17330000000.0,-4450000000.0,42983000000.0,37888000000.0,15620000000.0,
Change To Operating Activities,2889000000.0,59924000000.0,685000000.0,-19857000000.0,-4657000000.0,-30038000000.0,
Net Income,373000000.0,3367000000.0,4506000000.0,6836000000.0,5486000000.0,5378000000.0,3935000000.0
Change In Cash,27110000000.0,20602000000.0,2641000000.0,35313000000.0,49134000000.0,-28459000000.0,
Repurchase Of Stock,-16000000.0,-9000000.0,-1000000.0,-3638000000.0,-1032000000.0,-1014000000.0,
Total Cash From Operating Activities,-11647000000.0,34936000000.0,16014000000.0,-5183000000.0,20467000000.0,-39260000000.0,
Depreciation,499000000.0,468000000.0,498000000.0,498000000.0,520000000.0,509000000.0,
Change To Account Receivables,471000000.0,-16555000000.0,-6850000000.0,-9722000000.0,16994000000.0,3738000000.0,
Other Cashflows From Financing Activities,51659000000.0,-8682000000.0,-3300000000.0,27199000000.0,19808000000.0,27657000000.0,
Change To Netincome,1775000000.0,435000000.0,-357000000.0,1689000000.0,110000000.0,355000000.0,
Capital Expenditures,-1065000000.0,-998000000.0,-1403000000.0,-1312000000.0,-1353000000.0,-883000000.0,
Dividends Paid,-626000000.0,-592000000.0,-592000000.0,-551000000.0,-560000000.0,,
