,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,-2000000.0,-35000000.0,91000000.0,-147000000.0,13000000.0,22000000.0,-72000000.0
Total Cashflows From Investing Activities,-120000000.0,-103000000.0,-172000000.0,2158000000.0,-38000000.0,-99000000.0,-88000000.0
Net Borrowings,-32000000.0,1534000000.0,-1793000000.0,-1492000000.0,-935000000.0,-8000000.0,-264000000.0
Total Cash From Financing Activities,-61000000.0,1495000000.0,-1823000000.0,-1523000000.0,-961000000.0,-35000000.0,-297000000.0
Change To Operating Activities,10000000.0,110000000.0,-75000000.0,-57000000.0,-37000000.0,58000000.0,-2000000.0
Net Income,-30000000.0,7000000.0,35000000.0,573000000.0,76000000.0,100000000.0,214000000.0
Change In Cash,79000000.0,1812000000.0,-1640000000.0,587000000.0,-787000000.0,132000000.0,-162000000.0
Effect Of Exchange Rate,10000000.0,3000000.0,18000000.0,-3000000.0,-1000000.0,-5000000.0,-4000000.0
Total Cash From Operating Activities,250000000.0,417000000.0,337000000.0,-45000000.0,213000000.0,271000000.0,227000000.0
Depreciation,90000000.0,86000000.0,87000000.0,127000000.0,126000000.0,-34000000.0,-139000000.0
Other Cashflows From Investing Activities,1000000.0,-2000000.0,3000000.0,-1000000.0,2400000000.0,1000000.0,-2378000000.0
Dividends Paid,-22000000.0,-21000000.0,-22000000.0,-21000000.0,-22000000.0,-22000000.0,-21000000.0
Change To Account Receivables,65000000.0,53000000.0,-39000000.0,-57000000.0,-74000000.0,-74000000.0,65000000.0
Other Cashflows From Financing Activities,-8000000.0,-19000000.0,-8000000.0,-10000000.0,-5000000.0,-5000000.0,-13000000.0
Change To Netincome,62000000.0,31000000.0,83000000.0,-485000000.0,38000000.0,-13000000.0,-61000000.0
Capital Expenditures,-10000000.0,-12000000.0,-60000000.0,-7000000.0,-15000000.0,-19000000.0,-40000000.0
Issuance Of Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0
