,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-277000000.0,345000000.0,9000000.0,-124000000.0,58000000.0,-17000000.0,235000000.0
Change To Liabilities,-310000000.0,-96000000.0,475000000.0,57000000.0,345000000.0,-23000000.0,365000000.0
Total Cashflows From Investing Activities,-708000000.0,-52000000.0,-577000000.0,-1304000000.0,61000000.0,-104000000.0,286000000.0
Net Borrowings,5870000000.0,-21000000.0,-42000000.0,-792000000.0,-13000000.0,-38000000.0,-1553000000.0
Total Cash From Financing Activities,5187000000.0,-769000000.0,-2053000000.0,-2217000000.0,-1660000000.0,-1318000000.0,-3059000000.0
Change To Operating Activities,321000000.0,333000000.0,333000000.0,-425000000.0,71000000.0,136000000.0,455000000.0
Issuance Of Stock,31000000.0,66000000.0,230000000.0,67000000.0,47000000.0,57000000.0,58000000.0
Net Income,1081000000.0,758000000.0,1359000000.0,1427000000.0,1430000000.0,1257000000.0,1428000000.0
Change In Cash,6057000000.0,258000000.0,239000000.0,-2557000000.0,-291000000.0,-340000000.0,-128000000.0
Repurchase Of Stock,-62000000.0,-164000000.0,-1565000000.0,-822000000.0,-1027000000.0,-650000000.0,-881000000.0
Effect Of Exchange Rate,98000000.0,72000000.0,87000000.0,-14000000.0,30000000.0,-37000000.0,-18000000.0
Total Cash From Operating Activities,1480000000.0,1007000000.0,2782000000.0,978000000.0,1278000000.0,1119000000.0,2663000000.0
Depreciation,250000000.0,255000000.0,254000000.0,341000000.0,284000000.0,308000000.0,290000000.0
Other Cashflows From Investing Activities,-204000000.0,-158000000.0,-74000000.0,140000000.0,212000000.0,111000000.0,315000000.0
Dividends Paid,-650000000.0,-636000000.0,-671000000.0,-640000000.0,-664000000.0,-646000000.0,-676000000.0
Change To Inventory,-168000000.0,47000000.0,217000000.0,-158000000.0,-113000000.0,-245000000.0,-169000000.0
Change To Account Receivables,735000000.0,-161000000.0,54000000.0,143000000.0,-270000000.0,-292000000.0,411000000.0
Other Cashflows From Financing Activities,-2000000.0,-14000000.0,-5000000.0,-30000000.0,-3000000.0,-41000000.0,-7000000.0
Change To Netincome,-429000000.0,-129000000.0,90000000.0,-407000000.0,-469000000.0,-22000000.0,-117000000.0
Capital Expenditures,-227000000.0,-249000000.0,-291000000.0,-221000000.0,-185000000.0,-208000000.0,-281000000.0
