,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,614549000.0,601629000.0,616364000.0,649168000.0
Capital Surplus,1048283000.0,1039633000.0,1056042000.0,1012483000.0
Total Liab,18848754000.0,19416179000.0,20543802000.0,22281116000.0
Total Stockholder Equity,5411344000.0,5437851000.0,6074939000.0,6310802000.0
Minority Interest,39819000.0,41947000.0,43403000.0,14995000.0
Other Current Liab,3365865000.0,3398111000.0,3702656000.0,4124521000.0
Total Assets,24299917000.0,24895977000.0,26662144000.0,28606913000.0
Common Stock,47024000.0,70535000.0,70535000.0,70535000.0
Other Current Assets,1919797000.0,2076772000.0,2272472000.0,2544966000.0
Retained Earnings,6956882000.0,7558619000.0,7932372000.0,8348381000.0
Other Liab,1068751000.0,1005184000.0,1040966000.0,1017064000.0
Good Will,178945000.0,173037000.0,169652000.0,169652000.0
Treasury Stock,-2640845000.0,-3230936000.0,-2984010000.0,-3120597000.0
Other Assets,1876839000.0,2484808000.0,2676891000.0,2517621000.0
Cash,950471000.0,817602000.0,1023710000.0,2372366000.0
Total Current Liabilities,15282733000.0,16061860000.0,16945975000.0,18385552000.0
Deferred Long Term Asset Charges,,35490000.0,8710000.0,29055000.0
Short Long Term Debt,,440384000.0,299756000.0,3000000.0
Other Stockholder Equity,68541000.0,-510470000.0,-257299000.0,-62172000.0
Property Plant Equipment,422960000.0,416372000.0,615402000.0,570406000.0
Total Current Assets,5923050000.0,6001495000.0,6708719000.0,8605600000.0
Long Term Investments,15283574000.0,15218636000.0,15875116000.0,16094466000.0
Net Tangible Assets,5125399000.0,5160814000.0,5806287000.0,6048150000.0
Net Receivables,1963124000.0,2155693000.0,2444133000.0,2698419000.0
Long Term Debt,2497270000.0,2349135000.0,2326523000.0,2722334000.0
Accounts Payable,11916868000.0,12223365000.0,12943563000.0,14210554000.0
