,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-1391414000.0,-313168000.0,-578443000.0,893663000.0
Change To Liabilities,219920000.0,-25328000.0,147990000.0,95444000.0
Total Cashflows From Investing Activities,-1195231000.0,-245764000.0,-520848000.0,855486000.0
Net Borrowings,581213000.0,-356060000.0,147659000.0,293028000.0
Total Cash From Financing Activities,528217000.0,-449643000.0,98975000.0,174781000.0
Change To Operating Activities,-47206000.0,277659000.0,321815000.0,341225000.0
Net Income,229525000.0,312150000.0,151678000.0,71260000.0
Change In Cash,-357455000.0,-199081000.0,140621000.0,1465814000.0
Repurchase Of Stock,-29683000.0,-34498000.0,-12957000.0,-96281000.0
Effect Of Exchange Rate,-1431000.0,16585000.0,5400000.0,8266000.0
Total Cash From Operating Activities,310990000.0,479741000.0,557094000.0,427281000.0
Depreciation,33543000.0,38870000.0,32130000.0,39002000.0
Other Cashflows From Investing Activities,188012000.0,-147076000.0,77624000.0,-21965000.0
Dividends Paid,-21285000.0,-21325000.0,-21402000.0,-21351000.0
Change To Account Receivables,-96290000.0,2018000.0,28567000.0,-107034000.0
Other Cashflows From Financing Activities,-2028000.0,-37760000.0,-14325000.0,-615000.0
Change To Netincome,-59766000.0,-204148000.0,-44415000.0,-5890000.0
Capital Expenditures,-10872000.0,-7124000.0,-8041000.0,-8369000.0
