,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,387463000.0,337332000.0,322517000.0,302294000.0,293421000.0,404383000.0,1789628000.0
Capital Surplus,20836545000.0,20835022000.0,20823145000.0,20814196000.0,21161838000.0,22148859000.0,23133641000.0
Total Liab,15898980000.0,15250442000.0,15258580000.0,15945319000.0,14932908000.0,15307914000.0,15912452000.0
Total Stockholder Equity,16048140000.0,16107874000.0,15972719000.0,15798878000.0,15920446000.0,16863203000.0,17636001000.0
Minority Interest,1215532000.0,1183281000.0,1252343000.0,1248054000.0,1322762000.0,1308908000.0,1361872000.0
Total Assets,33162652000.0,32541597000.0,32483642000.0,32992251000.0,32176116000.0,33480025000.0,34910325000.0
Common Stock,418343000.0,418361000.0,418691000.0,418866000.0,423933000.0,436640000.0,448605000.0
Other Current Assets,696021000.0,996443000.0,697278000.0,991791000.0,894057000.0,329452000.0,218792000.0
Good Will,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0
Treasury Stock,-5206748000.0,-5145509000.0,-5269117000.0,-5434184000.0,-5665325000.0,-5722296000.0,-5946245000.0
Other Assets,102275000.0,293351000.0,299430000.0,338291000.0,935572000.0,957114000.0,1452550000.0
Cash,1678770000.0,1603740000.0,1545046000.0,2131846000.0,513602000.0,303982000.0,269265000.0
Total Current Liabilities,968786000.0,986826000.0,502328000.0,1044755000.0,1082966000.0,1113805000.0,982087000.0
Short Long Term Debt,64077000.0,64100000.0,118054000.0,84985000.0,89929000.0,27731000.0,39296000.0
Other Stockholder Equity,-5112949000.0,-5051487000.0,-5164627000.0,-5327665000.0,-5556692000.0,-5613818000.0,-5838495000.0
Property Plant Equipment,28171343000.0,27243511000.0,27502069000.0,27061315000.0,27300365000.0,29185567000.0,29304331000.0
Total Current Assets,3646329000.0,3776496000.0,3345071000.0,4202020000.0,2558325000.0,1886685000.0,1256452000.0
Long Term Investments,786921000.0,822586000.0,946234000.0,1020010000.0,1020112000.0,977955000.0,1039043000.0
Net Tangible Assets,15592356000.0,15702221000.0,15581881000.0,15428263000.0,15558704000.0,16390499000.0,15778052000.0
Net Receivables,1271538000.0,1176313000.0,1102747000.0,1078383000.0,1150666000.0,1253251000.0,768395000.0
Long Term Debt,14435650000.0,13781232000.0,13798720000.0,14513184000.0,13461910000.0,13669408000.0,14130954000.0
Other Current Liab,,,99916000.0,,,,117013000.0
Other Liab,62819000.0,62819000.0,568359000.0,,,,307316000.0
Accounts Payable,,,101592000.0,,,,174799000.0
