,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Investments,-13200000.0,-13200000.0,-5000000.0,-5000000.0,-5000000.0,-12000000.0
Change To Liabilities,137500000.0,137000000.0,120000000.0,-48000000.0,342000000.0,711000000.0
Total Cashflows From Investing Activities,-632000000.0,-241900000.0,10000000.0,38000000.0,-233000000.0,-527000000.0
Net Borrowings,326700000.0,30800000.0,-60000000.0,124000000.0,-100000000.0,471000000.0
Total Cash From Financing Activities,-223000000.0,-542700000.0,-765000000.0,-1236000000.0,-1179000000.0,-891000000.0
Change To Operating Activities,-127200000.0,-165200000.0,-33000000.0,28000000.0,-88000000.0,-20000000.0
Issuance Of Stock,23800000.0,28100000.0,19000000.0,1000000.0,30000000.0,114000000.0
Net Income,564000000.0,575200000.0,430000000.0,612000000.0,939000000.0,805000000.0
Change In Cash,45800000.0,59300000.0,-19000000.0,141000000.0,107000000.0,-75000000.0
Repurchase Of Stock,-40200000.0,-35700000.0,-20000000.0,-604000000.0,-359000000.0,-744000000.0
Effect Of Exchange Rate,-8100000.0,-27500000.0,1000000.0,-45000000.0,58000000.0,-108000000.0
Total Cash From Operating Activities,908900000.0,871400000.0,776000000.0,1384000000.0,1461000000.0,1526000000.0
Depreciation,351800000.0,352700000.0,378000000.0,630000000.0,564000000.0,582000000.0
Other Cashflows From Investing Activities,-700000.0,-700000.0,-1000000.0,-5000000.0,-5000000.0,-5000000.0
Dividends Paid,-480700000.0,-515500000.0,-666000000.0,-748000000.0,-728000000.0,-723000000.0
Change To Inventory,-48100000.0,-95000000.0,3000000.0,26000000.0,-112000000.0,-626000000.0
Change To Account Receivables,-13200000.0,700000.0,-84000000.0,133000000.0,-189000000.0,-272000000.0
Other Cashflows From Financing Activities,-52600000.0,-50400000.0,-38000000.0,-9000000.0,-22000000.0,-9000000.0
Change To Netincome,39100000.0,60900000.0,-44000000.0,-5000000.0,-5000000.0,344000000.0
Capital Expenditures,-379300000.0,-365000000.0,-332000000.0,-400000000.0,-468000000.0,-527000000.0
