,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Intangible Assets,362200000.0,324800000.0,2306800000.0,1994000000.0,1835000000.0,1657000000.0
Capital Surplus,,784400000.0,6007500000.0,5480000000.0,5092000000.0,4431000000.0
Total Liab,8213600000.0,8362100000.0,11490300000.0,11755000000.0,12367000000.0,13285000000.0
Total Stockholder Equity,800100000.0,626600000.0,5609000000.0,4626000000.0,4764000000.0,4082000000.0
Minority Interest,69600000.0,68800000.0,65700000.0,61000000.0,57000000.0,59000000.0
Other Current Liab,301700000.0,760200000.0,1058400000.0,1024000000.0,1041000000.0,1236000000.0
Total Assets,9083300000.0,9057500000.0,17165000000.0,16442000000.0,17188000000.0,17426000000.0
Common Stock,1425000000.0,,16300000.0,16000000.0,15000000.0,15000000.0
Other Current Assets,14300000.0,8800000.0,421200000.0,8000000.0,21000000.0,202000000.0
Retained Earnings,264900000.0,561400000.0,323700000.0,246000000.0,452000000.0,534000000.0
Other Liab,693000000.0,615200000.0,1639500000.0,1287000000.0,1374000000.0,1280000000.0
Good Will,2033300000.0,2056600000.0,5156000000.0,5339000000.0,5419000000.0,5285000000.0
Treasury Stock,-889800000.0,-719200000.0,-738500000.0,-1116000000.0,-795000000.0,-898000000.0
Other Assets,197300000.0,218700000.0,385400000.0,324000000.0,371000000.0,425000000.0
Cash,561500000.0,620800000.0,601600000.0,743000000.0,850000000.0,775000000.0
Total Current Liabilities,4034200000.0,5055200000.0,4541800000.0,3974000000.0,4345000000.0,5103000000.0
Deferred Long Term Asset Charges,66700000.0,70700000.0,190900000.0,135000000.0,139000000.0,130000000.0
Short Long Term Debt,341600000.0,984100000.0,5400000.0,9000000.0,3000000.0,4000000.0
Other Stockholder Equity,-881700000.0,-708500000.0,-722400000.0,-1049000000.0,-766000000.0,-880000000.0
Property Plant Equipment,2765300000.0,2698500000.0,3975000000.0,4140000000.0,4293000000.0,4206000000.0
Total Current Assets,3286500000.0,3620300000.0,5210100000.0,4535000000.0,5266000000.0,5853000000.0
Net Tangible Assets,-1595400000.0,-1754800000.0,-1853800000.0,-2707000000.0,-2490000000.0,-2860000000.0
Net Receivables,1328000000.0,1379000000.0,1864300000.0,1616000000.0,1864000000.0,1935000000.0
Long Term Debt,3480100000.0,2685200000.0,5304700000.0,5997000000.0,6156000000.0,6357000000.0
Inventory,1305500000.0,1358800000.0,1953800000.0,1832000000.0,1991000000.0,2439000000.0
Accounts Payable,2607900000.0,1861000000.0,2303400000.0,2171000000.0,2574000000.0,3138000000.0
Long Term Investments,438700000.0,138600000.0,131700000.0,110000000.0,4000000.0,
Deferred Long Term Liab,13800000.0,,,,,
