,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,374000000.0,352000000.0,329000000.0,343000000.0,342000000.0,2658000000.0
Capital Surplus,2898000000.0,2940000000.0,2705000000.0,2712000000.0,3018000000.0,3064000000.0
Total Liab,24039000000.0,22709000000.0,21241000000.0,23225000000.0,23227000000.0,29038000000.0
Total Stockholder Equity,14416000000.0,15768000000.0,13728000000.0,14190000000.0,14843000000.0,16260000000.0
Minority Interest,,,,,,22000000.0
Other Current Liab,266000000.0,287000000.0,318000000.0,325000000.0,323000000.0,277000000.0
Total Assets,38455000000.0,38477000000.0,34969000000.0,37415000000.0,38070000000.0,45320000000.0
Common Stock,33000000.0,33000000.0,33000000.0,33000000.0,33000000.0,33000000.0
Other Current Assets,5631000000.0,5170000000.0,3876000000.0,6202000000.0,6503000000.0,5913000000.0
Retained Earnings,19616000000.0,20872000000.0,20517000000.0,21252000000.0,21751000000.0,23191000000.0
Other Liab,1526000000.0,1745000000.0,1432000000.0,1863000000.0,2113000000.0,2545000000.0
Good Will,4443000000.0,4443000000.0,4447000000.0,4602000000.0,4914000000.0,10806000000.0
Treasury Stock,-8131000000.0,-8077000000.0,-9527000000.0,-9807000000.0,-9959000000.0,-10028000000.0
Other Assets,2141000000.0,2158000000.0,1362000000.0,2112000000.0,1912000000.0,1905000000.0
Cash,7163000000.0,7985000000.0,4673000000.0,3877000000.0,3378000000.0,4304000000.0
Total Current Liabilities,16455000000.0,14905000000.0,13394000000.0,15300000000.0,15051000000.0,15027000000.0
Other Stockholder Equity,317000000.0,370000000.0,391000000.0,108000000.0,216000000.0,145000000.0
Property Plant Equipment,2118000000.0,2228000000.0,2808000000.0,2507000000.0,2690000000.0,2898000000.0
Total Current Assets,27868000000.0,27031000000.0,23641000000.0,25526000000.0,25790000000.0,25815000000.0
Long Term Investments,1511000000.0,2265000000.0,2382000000.0,2325000000.0,2422000000.0,1238000000.0
Net Tangible Assets,9599000000.0,10973000000.0,8952000000.0,9245000000.0,9587000000.0,2796000000.0
Short Term Investments,12836000000.0,12741000000.0,12554000000.0,13251000000.0,13471000000.0,13719000000.0
Net Receivables,2238000000.0,1135000000.0,2538000000.0,2196000000.0,2438000000.0,1879000000.0
Long Term Debt,6058000000.0,6059000000.0,6060000000.0,6062000000.0,6063000000.0,11466000000.0
Accounts Payable,14155000000.0,12680000000.0,12027000000.0,13428000000.0,13383000000.0,13715000000.0
Short Long Term Debt,399000000.0,399000000.0,,,,
