,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,39000000.0,10000000.0,6000000.0,6000000.0,-1000000.0
Change To Liabilities,47000000.0,103000000.0,-102000000.0,-4000000.0,712000000.0
Total Cashflows From Investing Activities,-413000000.0,-375000000.0,-319000000.0,-299000000.0,-466000000.0
Net Borrowings,-1148000000.0,-769000000.0,-769000000.0,-518000000.0,-518000000.0
Total Cash From Financing Activities,-1564000000.0,-1270000000.0,-1583000000.0,-542000000.0,-1463000000.0
Change To Operating Activities,-37000000.0,-37000000.0,-82000000.0,-67000000.0,-71000000.0
Issuance Of Stock,1000000.0,12000000.0,19000000.0,5000000.0,64000000.0
Net Income,358000000.0,290000000.0,493000000.0,317000000.0,917000000.0
Change In Cash,-334000000.0,-153000000.0,-395000000.0,396000000.0,945000000.0
Repurchase Of Stock,-471000000.0,-471000000.0,-374000000.0,-110000000.0,-550000000.0
Effect Of Exchange Rate,12000000.0,-5000000.0,2000000.0,6000000.0,1000000.0
Total Cash From Operating Activities,1631000000.0,1497000000.0,1505000000.0,1231000000.0,2873000000.0
Depreciation,883000000.0,888000000.0,875000000.0,892000000.0,888000000.0
Other Cashflows From Investing Activities,1000000.0,11000000.0,15000000.0,2000000.0,48000000.0
Dividends Paid,-280000000.0,-280000000.0,-265000000.0,-258000000.0,-260000000.0
Change To Inventory,40000000.0,-52000000.0,-26000000.0,27000000.0,-123000000.0
Change To Account Receivables,-57000000.0,68000000.0,-6000000.0,-19000000.0,-235000000.0
Other Cashflows From Financing Activities,-137000000.0,-531000000.0,-194000000.0,-179000000.0,-199000000.0
Change To Netincome,-449000000.0,229000000.0,331000000.0,77000000.0,691000000.0
Capital Expenditures,-473000000.0,-422000000.0,-404000000.0,-309000000.0,-514000000.0
