,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Capital Surplus,11760000000.0,11818000000.0,11881000000.0,11878000000.0,11858000000.0,12401000000.0,11495000000.0,11451000000.0
Total Liab,167546000000.0,165390000000.0,168383000000.0,168618000000.0,161434000000.0,159835000000.0,166371000000.0,173479000000.0
Total Stockholder Equity,21062000000.0,21869000000.0,22984000000.0,24449000000.0,25539000000.0,24426000000.0,22177000000.0,22383000000.0
Total Assets,188608000000.0,187259000000.0,191367000000.0,193067000000.0,186973000000.0,184261000000.0,188548000000.0,195862000000.0
Common Stock,161000000.0,161000000.0,161000000.0,161000000.0,160000000.0,156000000.0,153000000.0,151000000.0
Other Current Assets,606000000.0,2597000000.0,606000000.0,527000000.0,1841000000.0,475000000.0,525000000.0,2207000000.0
Retained Earnings,12052000000.0,12762000000.0,13837000000.0,15308000000.0,16402000000.0,14832000000.0,13474000000.0,13754000000.0
Other Liab,24463000000.0,25063000000.0,21602000000.0,27143000000.0,27497000000.0,29090000000.0,20905000000.0,30769000000.0
Treasury Stock,-2911000000.0,-2872000000.0,-2895000000.0,-2898000000.0,-2881000000.0,-2963000000.0,-2945000000.0,-2973000000.0
Other Assets,15911000000.0,16694000000.0,12384000000.0,15890000000.0,16026000000.0,15682000000.0,11822000000.0,15319000000.0
Cash,41248000000.0,32726000000.0,32267000000.0,39634000000.0,28909000000.0,27072000000.0,21040000000.0,24995000000.0
Total Current Liabilities,94286000000.0,95550000000.0,102866000000.0,99456000000.0,96574000000.0,96262000000.0,105825000000.0,104373000000.0
Other Stockholder Equity,-2911000000.0,-2872000000.0,-2895000000.0,-2898000000.0,-2881000000.0,-2963000000.0,-2945000000.0,-2973000000.0
Property Plant Equipment,4829000000.0,4835000000.0,5015000000.0,4943000000.0,4891000000.0,4960000000.0,4988000000.0,5046000000.0
Total Current Assets,147926000000.0,143287000000.0,147073000000.0,150053000000.0,152413000000.0,152730000000.0,164018000000.0,170139000000.0
Long Term Investments,19942000000.0,22443000000.0,22778000000.0,22181000000.0,13643000000.0,10889000000.0,3715000000.0,5358000000.0
Net Tangible Assets,21062000000.0,21869000000.0,18867000000.0,24449000000.0,25539000000.0,24426000000.0,18172000000.0,22383000000.0
Short Term Investments,249000000.0,304000000.0,92000000.0,119000000.0,46000000.0,369000000.0,463000000.0,476000000.0
Net Receivables,105618000000.0,107505000000.0,114077000000.0,109619000000.0,121462000000.0,124652000000.0,141697000000.0,142210000000.0
Long Term Debt,48797000000.0,44777000000.0,42935000000.0,42019000000.0,37363000000.0,34483000000.0,38661000000.0,38337000000.0
Accounts Payable,92536000000.0,93693000000.0,96319000000.0,97778000000.0,94613000000.0,93967000000.0,94956000000.0,102113000000.0
Intangible Assets,,,265000000.0,,,,201000000.0,
Other Current Liab,,,943000000.0,,,,1576000000.0,
Good Will,,,3852000000.0,,,,3804000000.0,
Deferred Long Term Asset Charges,,,2700000000.0,,,,2385000000.0,
