,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-116000000.0,-1931000000.0,-3815000000.0,-13334000000.0
Change To Liabilities,5249000000.0,-4365000000.0,1771000000.0,-2025000000.0
Total Cashflows From Investing Activities,-18242000000.0,-19615000000.0,-16707000000.0,11632000000.0
Net Borrowings,6382000000.0,2481000000.0,2172000000.0,-20151000000.0
Total Cash From Financing Activities,12245000000.0,5101000000.0,-519000000.0,-9068000000.0
Change To Operating Activities,398000000.0,991000000.0,-368000000.0,-1785000000.0
Issuance Of Stock,129000000.0,87000000.0,86000000.0,44000000.0
Net Income,2748000000.0,6921000000.0,6759000000.0,3135000000.0
Change In Cash,7769000000.0,-5455000000.0,-3362000000.0,8519000000.0
Repurchase Of Stock,-4400000000.0,-1685000000.0,-4685000000.0,-1029000000.0
Effect Of Exchange Rate,226000000.0,129000000.0,232000000.0,364000000.0
Total Cash From Operating Activities,13540000000.0,8930000000.0,13632000000.0,5591000000.0
Depreciation,1321000000.0,1293000000.0,1188000000.0,1543000000.0
Other Cashflows From Investing Activities,152000000.0,152000000.0,152000000.0,135000000.0
Dividends Paid,-1251000000.0,-1324000000.0,-1422000000.0,-1474000000.0
Other Cashflows From Financing Activities,11385000000.0,5542000000.0,3330000000.0,13542000000.0
Change To Netincome,3824000000.0,4090000000.0,4282000000.0,4723000000.0
Capital Expenditures,-1063000000.0,-1311000000.0,-1688000000.0,-1479000000.0
