,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-225014000.0,171759000.0,3768000.0,-13000.0,-100000.0,-137000.0,-384000.0,-179000.0
Change To Liabilities,8818000.0,1579000.0,7501000.0,-4667000.0,7766000.0,5366000.0,-8938000.0,-7002000.0
Total Cashflows From Investing Activities,-281958000.0,60592000.0,-92988000.0,-1076584000.0,-108170000.0,-93068000.0,-145438000.0,-255881000.0
Net Borrowings,6690000.0,135319000.0,355854000.0,938170000.0,-112527000.0,-85194000.0,433020000.0,330000000.0
Total Cash From Financing Activities,-8786000.0,-262129000.0,-154767000.0,701343000.0,-155949000.0,-236782000.0,30652000.0,-151750000.0
Change To Operating Activities,30268000.0,2046000.0,-36609000.0,9860000.0,28498000.0,-56486000.0,21709000.0,-27960000.0
Issuance Of Stock,44488000.0,12967000.0,3766000.0,10838000.0,25126000.0,36987000.0,22561000.0,10836000.0
Net Income,22813000.0,22568000.0,105782000.0,-11745000.0,152669000.0,47798000.0,48904000.0,188623000.0
Change In Cash,22023000.0,84335000.0,6835000.0,-100623000.0,96625000.0,-84411000.0,181227000.0,-99188000.0
Repurchase Of Stock,-1553000.0,-175658000.0,-480347000.0,-177746000.0,-115421000.0,-115421000.0,-370139000.0,-440895000.0
Effect Of Exchange Rate,-1909000.0,-4618000.0,11465000.0,-10880000.0,7960000.0,-7609000.0,-2553000.0,15961000.0
Total Cash From Operating Activities,314676000.0,290490000.0,243125000.0,285498000.0,352784000.0,253048000.0,298566000.0,292482000.0
Depreciation,178706000.0,180302000.0,180383000.0,183881000.0,175469000.0,170916000.0,169895000.0,174323000.0
Other Cashflows From Investing Activities,248000.0,-1911000.0,7958000.0,-945274000.0,-1839000.0,-690000.0,916575000.0,-2513000.0
Dividends Paid,-51970000.0,-52028000.0,-51490000.0,-63412000.0,-63481000.0,-63563000.0,-63124000.0,-76873000.0
Change To Account Receivables,14415000.0,14145000.0,-10077000.0,-4523000.0,11105000.0,-12953000.0,-31866000.0,-9812000.0
Other Cashflows From Financing Activities,-6441000.0,-182729000.0,17450000.0,-6507000.0,-5067000.0,-9591000.0,8334000.0,25182000.0
Change To Netincome,54469000.0,80177000.0,-23913000.0,112692000.0,-22721000.0,98407000.0,79273000.0,-25690000.0
Capital Expenditures,-44838000.0,71032000.0,-33195000.0,-126166000.0,-98094000.0,-83287000.0,173853000.0,-245871000.0
