,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-309000000.0,-16860000000.0,5882000000.0,-19890000000.0,1861000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-15541000000.0,-15618000000.0,-22998000000.0,-14841000000.0,-31501000000.0
Net Borrowings,-2778000000.0,-1191000000.0,-4186000000.0,-16480000000.0,3554000000.0
Total Cash From Financing Activities,3218000000.0,1777000000.0,6619000000.0,25164000000.0,474000000.0
Change To Operating Activities,528000000.0,-1032000000.0,837000000.0,2104000000.0,-2591000000.0
Issuance Of Stock,288000000.0,213000000.0,216000000.0,303000000.0,308000000.0
Net Income,1982000000.0,6015000000.0,5546000000.0,2714000000.0,12390000000.0
Change In Cash,1859000000.0,-863000000.0,260000000.0,27022000000.0,-18717000000.0
Repurchase Of Stock,-240000000.0,-2284000000.0,-1481000000.0,-393000000.0,-7605000000.0
Total Cash From Operating Activities,14182000000.0,12978000000.0,16639000000.0,16699000000.0,12310000000.0
Depreciation,2440000000.0,2396000000.0,3339000000.0,3501000000.0,3481000000.0
Other Cashflows From Investing Activities,-663000000.0,-802000000.0,-877000000.0,-822000000.0,-668000000.0
Dividends Paid,-1045000000.0,-1038000000.0,-1035000000.0,-740000000.0,-1157077000.0
Other Cashflows From Financing Activities,6993000000.0,6077000000.0,12643000000.0,42519000000.0,5687000000.0
Change To Netincome,9389000000.0,5673000000.0,6980000000.0,8093000000.0,-987000000.0
Capital Expenditures,-1018000000.0,-874000000.0,-887000000.0,-710000000.0,-698000000.0
