,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Net Income,0.0,2406000000.0,2566000000.0,3325000000.0,3536000000.0,3104000000.0,2425000000.0,2403000000.0,2031000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,-13473000000.0,-13473000000.0,-1106000000.0,-271000000.0,-3177000000.0,4027000000.0,1282000000.0,1540000000.0,
Total Cashflows From Investing Activities,-13976000000.0,-13976000000.0,-5924000000.0,7272000000.0,-14963000000.0,-7355000000.0,-16455000000.0,1773000000.0,
Net Borrowings,-2036000000.0,-2036000000.0,-2171000000.0,-1602000000.0,-2095000000.0,1334000000.0,5917000000.0,3499000000.0,
Total Cash From Financing Activities,-438000000.0,-438000000.0,-2933000000.0,2595000000.0,-6281000000.0,-2829000000.0,6989000000.0,3337000000.0,
Change To Operating Activities,52000000.0,52000000.0,374000000.0,-2069000000.0,-208000000.0,-456000000.0,142000000.0,-4215000000.0,
Issuance Of Stock,64000000.0,64000000.0,98000000.0,79000000.0,75000000.0,91000000.0,63000000.0,69000000.0,
Change In Cash,-11557000000.0,-11557000000.0,-4230000000.0,11503000000.0,-17186000000.0,-8230000000.0,-4804000000.0,5031000000.0,
Repurchase Of Stock,-2000000.0,-2000000.0,-3000000.0,-575000000.0,-1668000000.0,-2710000000.0,-2652000000.0,-2484000000.0,
Total Cash From Operating Activities,2857000000.0,2857000000.0,4627000000.0,1636000000.0,4058000000.0,1954000000.0,4662000000.0,-79000000.0,
Depreciation,897000000.0,897000000.0,800000000.0,855000000.0,859000000.0,914000000.0,853000000.0,839000000.0,
Other Cashflows From Investing Activities,-187000000.0,-187000000.0,-258000000.0,52000000.0,-78000000.0,-260000000.0,-382000000.0,-195000000.0,
Dividends Paid,-114000000.0,-114000000.0,-113000000.0,-245000000.0,-241000000.0,-343500000.0,-327577000.0,-308000000.0,
Other Cashflows From Financing Activities,1529000000.0,1529000000.0,-244000000.0,4938000000.0,-3993000000.0,-348000000.0,5090000000.0,2561000000.0,
Change To Netincome,-521000000.0,-521000000.0,807000000.0,-566000000.0,-137000000.0,-1568000000.0,1284000000.0,913000000.0,
Capital Expenditures,-201000000.0,-201000000.0,-167000000.0,-178000000.0,-163000000.0,-163000000.0,-194000000.0,-230000000.0,
