,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,49000000.0,268400000.0,-299900000.0,-29700000.0,54900000.0
Total Cashflows From Investing Activities,-1808500000.0,-1926100000.0,-1922400000.0,-879100000.0,-2204900000.0
Net Borrowings,1112600000.0,75400000.0,494400000.0,81900000.0,31300000.0
Total Cash From Financing Activities,1068700000.0,1468700000.0,366400000.0,-247700000.0,956300000.0
Change To Operating Activities,-442200000.0,-33600000.0,31700000.0,-242400000.0,-162100000.0
Issuance Of Stock,336700000.0,848200000.0,244400000.0,211400000.0,1139500000.0
Net Income,128500000.0,-50600000.0,383100000.0,-17600000.0,584900000.0
Change In Cash,2400000.0,82700000.0,27300000.0,-22800000.0,-30700000.0
Total Cash From Operating Activities,742200000.0,540100000.0,1583300000.0,1104000000.0,1217900000.0
Depreciation,526300000.0,545400000.0,660300000.0,665800000.0,748400000.0
Other Cashflows From Investing Activities,-112700000.0,-109700000.0,-120400000.0,-236900000.0,-367600000.0
Dividends Paid,-229100000.0,-284900000.0,-354600000.0,-376700000.0,-400300000.0
Change To Inventory,19000000.0,41400000.0,-2000000.0,-1500000.0,-112900000.0
Change To Account Receivables,-52300000.0,-186200000.0,187800000.0,-3900000.0,-40300000.0
Other Cashflows From Financing Activities,-144300000.0,-46000000.0,-17800000.0,-164300000.0,185800000.0
Change To Netincome,452300000.0,-126600000.0,549700000.0,635400000.0,141100000.0
Capital Expenditures,-1695800000.0,-1818200000.0,-1802400000.0,-1758100000.0,-1838000000.0
Repurchase Of Stock,-7200000.0,-4000000.0,,,
