,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Capital Surplus,6676500000.0,6684200000.0,6890100000.0,6892900000.0,6728000000.0,6735300000.0
Total Liab,16774700000.0,17276600000.0,16202700000.0,16168800000.0,15700300000.0,16194500000.0
Total Stockholder Equity,4781800000.0,4544900000.0,4872200000.0,5051600000.0,4804300000.0,4775100000.0
Minority Interest,,,85600000.0,94100000.0,90400000.0,89200000.0
Deferred Long Term Liab,2080900000.0,2071100000.0,1981000000.0,2025800000.0,2032100000.0,2028100000.0
Other Current Liab,1171000000.0,1178600000.0,733100000.0,754000000.0,664200000.0,784700000.0
Total Assets,22436500000.0,22701500000.0,22040500000.0,22194500000.0,22313800000.0,22778600000.0
Common Stock,3800000.0,3800000.0,3900000.0,3900000.0,3900000.0,3900000.0
Other Current Assets,1714900000.0,1721000000.0,240800000.0,324000000.0,210200000.0,244200000.0
Retained Earnings,-1576700000.0,-1849600000.0,-1765200000.0,-1669800000.0,-1704100000.0,-1746800000.0
Other Liab,4595000000.0,4497600000.0,4574100000.0,4667100000.0,4718400000.0,4690900000.0
Good Will,1485900000.0,1485900000.0,1485900000.0,1485900000.0,1485900000.0,1485900000.0
Treasury Stock,-321800000.0,-293500000.0,-256600000.0,-175400000.0,-223500000.0,-217300000.0
Other Assets,2244600000.0,2239600000.0,2154700000.0,2196900000.0,2203400000.0,2215800000.0
Cash,142200000.0,58600000.0,116500000.0,89100000.0,77500000.0,38500000.0
Total Current Liabilities,3227700000.0,3446800000.0,2279400000.0,2258800000.0,1706900000.0,2246600000.0
Short Long Term Debt,108300000.0,92100000.0,70900000.0,17100000.0,50600000.0,46600000.0
Other Stockholder Equity,-221900000.0,-193600000.0,-156700000.0,-75500000.0,-123600000.0,-117400000.0
Property Plant Equipment,15772400000.0,16079000000.0,16659400000.0,16836700000.0,17155100000.0,17521100000.0
Total Current Assets,2859600000.0,2820800000.0,1659400000.0,1593500000.0,1384200000.0,1471400000.0
Long Term Investments,74000000.0,76200000.0,81100000.0,81500000.0,85200000.0,84400000.0
Net Tangible Assets,3295900000.0,3059000000.0,3386300000.0,3565700000.0,3318400000.0,3289200000.0
Net Receivables,563600000.0,545800000.0,825400000.0,848200000.0,595400000.0,585900000.0
Long Term Debt,8952000000.0,9332200000.0,9147600000.0,9242900000.0,9275000000.0,9257000000.0
Inventory,311800000.0,396500000.0,401100000.0,246200000.0,330900000.0,471400000.0
Accounts Payable,402500000.0,410300000.0,589000000.0,554900000.0,480400000.0,487200000.0
