,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30
Capital Surplus,3197000000.0,3485000000.0,3646000000.0,3424000000.0,3655000000.0,4811000000.0,4839000000.0,4587000000.0
Total Liab,156185000000.0,163359000000.0,164965000000.0,151989000000.0,151425000000.0,154094000000.0,152969000000.0,160282000000.0
Total Stockholder Equity,75310000000.0,81431000000.0,80925000000.0,78335000000.0,80529000000.0,82274000000.0,83253000000.0,76896000000.0
Minority Interest,5887000000.0,6073000000.0,6606000000.0,6257000000.0,6598000000.0,8483000000.0,8638000000.0,8964000000.0
Other Current Liab,3670000000.0,2077000000.0,22528000000.0,5502000000.0,3376000000.0,1974000000.0,3431000000.0,5535000000.0
Total Assets,237382000000.0,250863000000.0,252496000000.0,236581000000.0,238552000000.0,244851000000.0,244860000000.0,246142000000.0
Common Stock,283000000.0,283000000.0,282000000.0,280000000.0,278000000.0,277000000.0,276000000.0,275000000.0
Retained Earnings,87614000000.0,92279000000.0,88763000000.0,82577000000.0,84572000000.0,85674000000.0,86904000000.0,80532000000.0
Other Liab,12179000000.0,12935000000.0,13976000000.0,13738000000.0,13038000000.0,12012000000.0,12379000000.0,12283000000.0
Good Will,29542000000.0,30236000000.0,28983000000.0,28872000000.0,29159000000.0,28923000000.0,29014000000.0,29438000000.0
Treasury Stock,-15784000000.0,-14616000000.0,-11766000000.0,-7946000000.0,-7976000000.0,-8488000000.0,-8766000000.0,-8498000000.0
Other Assets,9381000000.0,9790000000.0,3737000000.0,10086000000.0,10122000000.0,9169000000.0,4464000000.0,10377000000.0
Cash,16906000000.0,14325000000.0,17741000000.0,22846000000.0,22831000000.0,16111000000.0,14760000000.0,11817000000.0
Total Current Liabilities,81957000000.0,88121000000.0,92645000000.0,80841000000.0,81122000000.0,87620000000.0,87379000000.0,96530000000.0
Short Long Term Debt,5553000000.0,4358000000.0,3115000000.0,3500000000.0,1617000000.0,1575000000.0,2803000000.0,3580000000.0
Other Stockholder Equity,-15784000000.0,-14616000000.0,-11766000000.0,-7946000000.0,-7976000000.0,-8488000000.0,-8766000000.0,-8498000000.0
Property Plant Equipment,122894000000.0,124289000000.0,109848000000.0,108625000000.0,109598000000.0,110331000000.0,112624000000.0,113217000000.0
Total Current Assets,64996000000.0,73602000000.0,90067000000.0,76591000000.0,78243000000.0,82964000000.0,81070000000.0,83220000000.0
Long Term Investments,10569000000.0,12946000000.0,14961000000.0,12407000000.0,11430000000.0,13464000000.0,12888000000.0,9890000000.0
Net Tangible Assets,45768000000.0,51195000000.0,47042000000.0,49463000000.0,51370000000.0,53351000000.0,49439000000.0,47458000000.0
Net Receivables,5111000000.0,5770000000.0,6516000000.0,5797000000.0,6103000000.0,7349000000.0,8280000000.0,7674000000.0
Long Term Debt,41707000000.0,41571000000.0,41588000000.0,40678000000.0,40197000000.0,37306000000.0,35959000000.0,33834000000.0
Inventory,41084000000.0,51842000000.0,44949000000.0,46383000000.0,47754000000.0,57484000000.0,56511000000.0,61229000000.0
Accounts Payable,46326000000.0,54152000000.0,49141000000.0,48151000000.0,49601000000.0,57156000000.0,55261000000.0,52926000000.0
Intangible Assets,,,4900000000.0,,,,4800000000.0,
Deferred Long Term Asset Charges,,,1836000000.0,,,,1473000000.0,
Other Current Assets,,,19200000000.0,,,,,
