,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-15000000.0,35000000.0,-47000000.0,49000000.0,-21000000.0,-21000000.0,10000000.0
Change To Liabilities,-1000000.0,-40000000.0,44000000.0,-86000000.0,0.0,7000000.0,21000000.0
Total Cashflows From Investing Activities,-284000000.0,-337000000.0,-411000000.0,-350000000.0,-390000000.0,-390000000.0,-351000000.0
Net Borrowings,-107000000.0,-16000000.0,-17000000.0,-18000000.0,-18000000.0,-18000000.0,141000000.0
Total Cash From Financing Activities,-291000000.0,-242000000.0,-561000000.0,-511000000.0,-697000000.0,-697000000.0,-595000000.0
Change To Operating Activities,220000000.0,220000000.0,368000000.0,-370000000.0,-286000000.0,-286000000.0,96000000.0
Net Income,344000000.0,839000000.0,824000000.0,559000000.0,650000000.0,3000000.0,-46000000.0
Change In Cash,93000000.0,1021000000.0,716000000.0,-22000000.0,54000000.0,54000000.0,348000000.0
Repurchase Of Stock,-3000000.0,-6000000.0,-203000000.0,-28000000.0,-116000000.0,-116000000.0,-278000000.0
Effect Of Exchange Rate,4000000.0,4000000.0,2000000.0,-2000000.0,-3000000.0,-3000000.0,-5000000.0
Total Cash From Operating Activities,664000000.0,1596000000.0,1686000000.0,841000000.0,1144000000.0,1144000000.0,1299000000.0
Depreciation,555000000.0,623000000.0,559000000.0,579000000.0,596000000.0,596000000.0,686000000.0
Other Cashflows From Investing Activities,-3000000.0,-78000000.0,15000000.0,-1000000.0,26000000.0,26000000.0,
Dividends Paid,-201000000.0,-201000000.0,-320000000.0,-441000000.0,-440000000.0,-440000000.0,-436000000.0
Change To Inventory,-34000000.0,-25000000.0,7000000.0,-97000000.0,-49000000.0,-49000000.0,82000000.0
Change To Account Receivables,-110000000.0,13000000.0,-174000000.0,228000000.0,262000000.0,262000000.0,-74000000.0
Other Cashflows From Financing Activities,20000000.0,-69000000.0,-22000000.0,-24000000.0,-123000000.0,-123000000.0,-22000000.0
Change To Netincome,-90000000.0,-34000000.0,58000000.0,28000000.0,532000000.0,532000000.0,622000000.0
Capital Expenditures,-280000000.0,-296000000.0,-398000000.0,-399000000.0,-398000000.0,-398000000.0,-441000000.0
Issuance Of Stock,50000000.0,50000000.0,1000000.0,,,,
