,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,260888000.0,91286000.0,252856000.0,57539000.0,316386000.0,431951000.0,526974000.0,70765000.0,224101000.0,323025000.0
Change To Liabilities,-56619000.0,48464000.0,-53948000.0,59116000.0,-52602000.0,62656000.0,-53789000.0,54553000.0,-31938000.0,0.0
Investments,-676000.0,-38000.0,1261000.0,-2374000.0,22340000.0,-27436000.0,-47698000.0,-22463000.0,-23705000.0,
Total Cashflows From Investing Activities,299338000.0,-148889000.0,247128000.0,-126345000.0,70990000.0,-254234000.0,-125031000.0,-197037000.0,151702000.0,
Net Borrowings,-211016000.0,-27985000.0,-356034000.0,-9452000.0,210326000.0,-102735000.0,193314000.0,-184419000.0,-196167000.0,
Total Cash From Financing Activities,-447210000.0,-260668000.0,-613826000.0,-221600000.0,-6397000.0,-313606000.0,-23453000.0,-419555000.0,-467569000.0,
Change To Operating Activities,-44278000.0,35991000.0,-24494000.0,6078000.0,-17472000.0,23996000.0,1743000.0,-9201000.0,-14702000.0,
Issuance Of Stock,1661000.0,1301000.0,1801000.0,24613000.0,17677000.0,29972000.0,17448000.0,15313000.0,5993000.0,
Change In Cash,104763000.0,-10319000.0,-135486000.0,-1892000.0,294665000.0,-165752000.0,133487000.0,-248536000.0,6951000.0,
Total Cash From Operating Activities,252635000.0,399238000.0,231212000.0,346053000.0,230072000.0,402088000.0,281971000.0,368056000.0,322818000.0,
Depreciation,208844000.0,203480000.0,204708000.0,202924000.0,204865000.0,218375000.0,225220000.0,233007000.0,226863000.0,
Dividends Paid,-224960000.0,-225014000.0,-225042000.0,-225081000.0,-225447000.0,-226321000.0,-226709000.0,-227411000.0,-235739000.0,
Other Cashflows From Financing Activities,-12895000.0,-8970000.0,-34551000.0,-11680000.0,-8953000.0,-14522000.0,-7506000.0,-23038000.0,-41656000.0,
Change To Netincome,-119588000.0,16635000.0,-151993000.0,16917000.0,-224343000.0,-338279000.0,-422110000.0,15497000.0,-85163000.0,
Capital Expenditures,-11020000.0,-3754000.0,-810000.0,-589000.0,-453000.0,-209000.0,-445000.0,-971000.0,-10000.0,
Other Cashflows From Investing Activities,-26335000.0,-26335000.0,-26335000.0,-26335000.0,26335000.0,,,,,
