,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Total Liab,50605000000.0,52907000000.0,53423000000.0,53282000000.0,53849000000.0
Total Stockholder Equity,14253000000.0,13748000000.0,14048000000.0,14085000000.0,14177000000.0
Minority Interest,2193000000.0,1901000000.0,1901000000.0,1901000000.0,1901000000.0
Deferred Long Term Liab,6528000000.0,6446000000.0,7120000000.0,7543000000.0,7810000000.0
Other Current Liab,2361000000.0,3935000000.0,4655000000.0,4251000000.0,2566000000.0
Total Assets,67051000000.0,68556000000.0,69372000000.0,70505000000.0,71162000000.0
Common Stock,5908000000.0,5930000000.0,5962000000.0,5989000000.0,6013000000.0
Other Current Assets,2168000000.0,2016000000.0,1861000000.0,1991000000.0,2197000000.0
Retained Earnings,8410000000.0,7881000000.0,8155000000.0,8163000000.0,8229000000.0
Other Liab,24861000000.0,24431000000.0,22641000000.0,22764000000.0,22312000000.0
Treasury Stock,-65000000.0,-63000000.0,-69000000.0,-67000000.0,-65000000.0
Other Assets,15946000000.0,15034000000.0,15462000000.0,15763000000.0,16126000000.0
Cash,524000000.0,92000000.0,87000000.0,389000000.0,84000000.0
Total Current Liabilities,5899000000.0,8616000000.0,10277000000.0,9497000000.0,7815000000.0
Short Long Term Debt,1029000000.0,1029000000.0,1029000000.0,909000000.0,415000000.0
Other Stockholder Equity,-65000000.0,-63000000.0,-69000000.0,-67000000.0,-65000000.0
Property Plant Equipment,46225000000.0,47582000000.0,48796000000.0,49355000000.0,50036000000.0
Total Current Assets,4796000000.0,5855000000.0,5061000000.0,5328000000.0,4921000000.0
Long Term Investments,84000000.0,85000000.0,53000000.0,59000000.0,79000000.0
Net Tangible Assets,14253000000.0,13748000000.0,14048000000.0,14085000000.0,14177000000.0
Net Receivables,1673000000.0,3022000000.0,2427000000.0,2369000000.0,2177000000.0
Long Term Debt,19238000000.0,18958000000.0,19632000000.0,20165000000.0,22891000000.0
Inventory,382000000.0,387000000.0,405000000.0,416000000.0,406000000.0
Accounts Payable,1657000000.0,1691000000.0,1980000000.0,1602000000.0,1797000000.0
