,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-60463000000.0,-54002000000.0,-55408000000.0,-75285000000.0,-181183000000.0,-35117000000.0,-14982000000.0,-20166000000.0,-140266000000.0,-18667000000.0
Change To Liabilities,7914000000.0,0.0,0.0,0.0,14162000000.0,0.0,0.0,0.0,4815000000.0,0.0
Total Cashflows From Investing Activities,-32995000000.0,-67728000000.0,-69053000000.0,-79712000000.0,-27701000000.0,-47775000000.0,-29773000000.0,-33790000000.0,-87254000000.0,-27607000000.0
Net Borrowings,-15953000000.0,31349000000.0,31349000000.0,31349000000.0,31349000000.0,-7286000000.0,-7286000000.0,-7286000000.0,-7286000000.0,3978000000.0
Total Cash From Financing Activities,2967000000.0,-4609000000.0,10106000000.0,-5685000000.0,30270000000.0,-11468000000.0,-23670000000.0,-18697000000.0,-10614000000.0,-21022000000.0
Net Income,3220000000.0,47533000000.0,28876000000.0,79535000000.0,-5366000000.0,45068000000.0,5488000000.0,20546000000.0,-8853000000.0,22659000000.0
Change In Cash,-25542000000.0,-22589000000.0,-8504000000.0,13679000000.0,27901000000.0,-27832000000.0,-17418000000.0,21955000000.0,-105821000000.0,-11434000000.0
Repurchase Of Stock,,-773000000.0,-773000000.0,-773000000.0,-773000000.0,-61225000000.0,-61225000000.0,-61225000000.0,-61225000000.0,-23880000000.0
Effect Of Exchange Rate,2322000000.0,-351000000.0,-3853000000.0,-4132000000.0,1149000000.0,-2192000000.0,195000000.0,-5924000000.0,-913000000.0,3326000000.0
Total Cash From Operating Activities,2164000000.0,50099000000.0,54296000000.0,103208000000.0,24183000000.0,33603000000.0,35830000000.0,80366000000.0,-7040000000.0,33869000000.0
Depreciation,18173000000.0,8619000000.0,9197000000.0,10299000000.0,19794000000.0,9970000000.0,9713000000.0,9379000000.0,19003000000.0,9446000000.0
Other Cashflows From Investing Activities,74849000000.0,-88000000.0,635000000.0,1417000000.0,215561000000.0,-140000000.0,1147000000.0,-273000000.0,110434000000.0,2903000000.0
Other Cashflows From Financing Activities,-72586000000.0,-4609000000.0,10106000000.0,-5685000000.0,-481000000.0,-11468000000.0,-23670000000.0,-18697000000.0,57788000000.0,-1120000000.0
Change To Netincome,-40647000000.0,-6053000000.0,16223000000.0,13374000000.0,-40753000000.0,-21435000000.0,20629000000.0,50441000000.0,960000000.0,1764000000.0
Capital Expenditures,-32550000000.0,-13638000000.0,-14280000000.0,-5844000000.0,-41450000000.0,-12518000000.0,-15938000000.0,-13351000000.0,-53309000000.0,-11843000000.0
Change To Operating Activities,10966000000.0,32320000000.0,32320000000.0,32320000000.0,32320000000.0,-19439000000.0,-19439000000.0,-19439000000.0,-19439000000.0,
Issuance Of Stock,91506000000.0,175000000.0,175000000.0,175000000.0,175000000.0,109000000.0,109000000.0,109000000.0,109000000.0,
