,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,1914000000.0,1870000000.0,1827000000.0,2007000000.0,1933000000.0,1887000000.0,1816000000.0,1744000000.0,1654000000.0,1568000000.0
Total Liab,255369000000.0,246517000000.0,288506000000.0,291880000000.0,301361000000.0,295825000000.0,287261000000.0,296126000000.0,274456000000.0,277920000000.0
Total Stockholder Equity,22402000000.0,23087000000.0,23729000000.0,23029000000.0,23191000000.0,25338000000.0,25387000000.0,24248000000.0,23791000000.0,23672000000.0
Total Assets,280242000000.0,272075000000.0,314706000000.0,316885000000.0,326528000000.0,323139000000.0,314624000000.0,322350000000.0,300223000000.0,303568000000.0
Common Stock,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0,504000000.0
Other Current Assets,4210000000.0,3928000000.0,3313000000.0,6109000000.0,2910000000.0,2568000000.0,2348000000.0,3565000000.0,4026000000.0,3526000000.0
Retained Earnings,22794000000.0,23128000000.0,23442000000.0,23751000000.0,24300000000.0,24785000000.0,25238000000.0,25612000000.0,26115000000.0,26552000000.0
Other Liab,,,73000000.0,,,,45000000.0,,,16000000.0
Good Will,7538000000.0,7607000000.0,7683000000.0,7629000000.0,7629000000.0,7650000000.0,7621000000.0,7582000000.0,7465000000.0,7351000000.0
Treasury Stock,-896000000.0,-545000000.0,-217000000.0,-1226000000.0,-1613000000.0,49000000.0,-355000000.0,-1868000000.0,-2828000000.0,-3384000000.0
Other Assets,43686000000.0,44750000000.0,50677000000.0,60835000000.0,60877000000.0,64077000000.0,59253000000.0,64046000000.0,56699000000.0,78682000000.0
Cash,3685000000.0,4848000000.0,3467000000.0,4552000000.0,4619000000.0,4606000000.0,3631000000.0,2976000000.0,3515000000.0,2748000000.0
Total Current Liabilities,239782000000.0,232664000000.0,275469000000.0,278044000000.0,288329000000.0,282847000000.0,273281000000.0,282204000000.0,260926000000.0,263905000000.0
Other Stockholder Equity,9749000000.0,10081000000.0,10392000000.0,9809000000.0,9824000000.0,10081000000.0,9654000000.0,8064000000.0,7070000000.0,6492000000.0
Property Plant Equipment,3014000000.0,2982000000.0,2874000000.0,2775000000.0,2791000000.0,2803000000.0,2803000000.0,2775000000.0,2741000000.0,2283000000.0
Total Current Assets,112058000000.0,99682000000.0,137274000000.0,133638000000.0,137405000000.0,129957000000.0,124140000000.0,123416000000.0,118693000000.0,107466000000.0
Long Term Investments,112032000000.0,115184000000.0,114371000000.0,110001000000.0,115893000000.0,116765000000.0,118991000000.0,122787000000.0,112971000000.0,106218000000.0
Net Tangible Assets,12950000000.0,13610000000.0,14219000000.0,13393000000.0,13629000000.0,15801000000.0,15950000000.0,14922000000.0,14672000000.0,14753000000.0
Short Term Investments,94225000000.0,80466000000.0,120066000000.0,112792000000.0,117344000000.0,110400000000.0,109370000000.0,104813000000.0,96563000000.0,100507000000.0
Long Term Debt,15587000000.0,13853000000.0,12197000000.0,13836000000.0,13032000000.0,12978000000.0,13311000000.0,13922000000.0,13530000000.0,13999000000.0
Accounts Payable,200462000000.0,197513000000.0,239798000000.0,244893000000.0,263969000000.0,259373000000.0,255035000000.0,251043000000.0,241913000000.0,238236000000.0
Deferred Long Term Asset Charges,199000000.0,199000000.0,233000000.0,221000000.0,212000000.0,196000000.0,254000000.0,775000000.0,1027000000.0,
Net Receivables,3838000000.0,3474000000.0,3426000000.0,768000000.0,3516000000.0,3624000000.0,3313000000.0,3785000000.0,3680000000.0,
Other Current Liab,4000000.0,4000000.0,4000000.0,,,,,,,
Short Long Term Debt,,,1505000000.0,,,,,,,
