,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04
Investments,-20000000.0,4000000.0,-131000000.0,40000000.0,-11000000.0
Change To Liabilities,-391000000.0,329000000.0,179000000.0,465000000.0,-88000000.0
Total Cashflows From Investing Activities,-135000000.0,-103000000.0,-382000000.0,-25000000.0,-121000000.0
Net Borrowings,374000000.0,274000000.0,-6000000.0,-124000000.0,-134000000.0
Total Cash From Financing Activities,226000000.0,104000000.0,-284000000.0,-745000000.0,-977000000.0
Change To Operating Activities,17000000.0,200000000.0,227000000.0,-79000000.0,141000000.0
Issuance Of Stock,88000000.0,88000000.0,88000000.0,18000000.0,8000000.0
Net Income,276000000.0,501000000.0,501000000.0,603000000.0,600000000.0
Change In Cash,60000000.0,1216000000.0,434000000.0,-443000000.0,-477000000.0
Repurchase Of Stock,-91000000.0,-91000000.0,-91000000.0,-418000000.0,-672000000.0
Effect Of Exchange Rate,-9000000.0,-8000000.0,-42000000.0,-12000000.0,5000000.0
Total Cash From Operating Activities,-22000000.0,1223000000.0,1142000000.0,339000000.0,616000000.0
Depreciation,164000000.0,165000000.0,173000000.0,169000000.0,166000000.0
Other Cashflows From Investing Activities,-25000000.0,21000000.0,23000000.0,33000000.0,6000000.0
Dividends Paid,-193000000.0,-194000000.0,-200000000.0,-197000000.0,-197000000.0
Change To Inventory,-53000000.0,174000000.0,96000000.0,-336000000.0,-292000000.0
Change To Account Receivables,63000000.0,-123000000.0,-98000000.0,-374000000.0,43000000.0
Other Cashflows From Financing Activities,45000000.0,24000000.0,-75000000.0,-24000000.0,18000000.0
Change To Netincome,-99000000.0,-24000000.0,63000000.0,-110000000.0,45000000.0
Capital Expenditures,-77000000.0,-116000000.0,-260000000.0,-87000000.0,-125000000.0
