,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,13630000000.0,36524000000.0,33121000000.0,31142000000.0,29026000000.0
Capital Surplus,32079000000.0,45423000000.0,45955000000.0,46496000000.0,47360000000.0
Total Liab,57436000000.0,137913000000.0,158279000000.0,161014000000.0,157618000000.0
Total Stockholder Equity,37691000000.0,58225000000.0,63864000000.0,69389000000.0,75075000000.0
Minority Interest,4000000.0,318000000.0,306000000.0,312000000.0,306000000.0
Other Current Liab,10431000000.0,16398000000.0,18579000000.0,22620000000.0,24121000000.0
Total Assets,95131000000.0,196456000000.0,222449000000.0,230715000000.0,232999000000.0
Common Stock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
Other Current Assets,940000000.0,4581000000.0,5113000000.0,5277000000.0,5292000000.0
Retained Earnings,43556000000.0,40911000000.0,45108000000.0,49640000000.0,54906000000.0
Other Liab,4607000000.0,22460000000.0,21351000000.0,21033000000.0,19663000000.0
Good Will,38451000000.0,78678000000.0,79749000000.0,79552000000.0,79121000000.0
Treasury Stock,-37961000000.0,-28126000000.0,-27216000000.0,-26764000000.0,-27208000000.0
Other Assets,1417000000.0,8930000000.0,9059000000.0,9505000000.0,9801000000.0
Cash,1696000000.0,4059000000.0,5683000000.0,7854000000.0,9408000000.0
Total Current Liabilities,30648000000.0,44009000000.0,53303000000.0,62017000000.0,67807000000.0
Short Long Term Debt,3568000000.0,1265000000.0,3754000000.0,5407000000.0,4155000000.0
Other Stockholder Equity,-196000000.0,73000000.0,990000000.0,1385000000.0,936000000.0
Property Plant Equipment,10292000000.0,11349000000.0,32904000000.0,33335000000.0,32018000000.0
Total Current Assets,31229000000.0,45243000000.0,50302000000.0,56369000000.0,60008000000.0
Long Term Investments,112000000.0,15732000000.0,17314000000.0,20812000000.0,23025000000.0
Net Tangible Assets,-14390000000.0,-56977000000.0,-49006000000.0,-41305000000.0,-33072000000.0
Short Term Investments,111000000.0,2522000000.0,2373000000.0,3000000000.0,3117000000.0
Net Receivables,13181000000.0,17631000000.0,19617000000.0,21742000000.0,24431000000.0
Long Term Debt,21511000000.0,70802000000.0,63918000000.0,58157000000.0,50721000000.0
Inventory,15296000000.0,16450000000.0,17516000000.0,18496000000.0,17760000000.0
Accounts Payable,8863000000.0,8925000000.0,10492000000.0,11138000000.0,12544000000.0
