Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,57.341,59.0,56.73,58.759997999999996,58.759997999999996,6700900,,
2021-06-02-00-00-00,58.7,59.12,57.65,58.46,,4065400,0.0,0.0
2021-06-03-00-00-00,58.0,58.0,56.21,56.32,,4581300,0.0,0.0
2021-06-04-00-00-00,56.65,57.51,56.46,57.4,,2963100,0.0,0.0
2021-06-07-00-00-00,57.54,59.08,57.04,58.56,,4535400,0.0,0.0
2021-06-08-00-00-00,58.91,59.05,56.35,56.74,,5714600,0.0,0.0
2021-06-09-00-00-00,56.94,57.11,55.36,55.38,,4140800,0.0,0.0
2021-06-10-00-00-00,56.13,56.2,54.54,55.66,,4991300,0.0,0.0
2021-06-11-00-00-00,55.73,56.400002,55.130001,56.110001000000004,56.110001000000004,3652000,,
2021-06-14-00-00-00,56.3,60.3,56.2,58.41,,8750900,0.0,0.0
2021-06-15-00-00-00,57.95,58.27,56.7,57.82,,4098600,0.0,0.0
2021-06-16-00-00-00,57.83,57.96,56.04,56.97,,3881200,0.0,0.0
2021-06-17-00-00-00,56.75,59.68,56.62,58.8,,5242500,0.0,0.0
2021-06-18-00-00-00,58.8,59.61,57.69,58.48,,4640500,0.0,0.0
2021-06-21-00-00-00,59.18,59.85,57.79,59.5,,4559500,0.0,0.0
2021-06-22-00-00-00,59.380001,59.679001,58.040001000000004,59.060001,59.060001,3421100,,
2021-06-23-00-00-00,59.544998,61.93,59.299999,61.41,61.41,4918400,,
2021-06-24-00-00-00,61.25,61.965,60.169998,61.779999,61.779999,3746600,,
2021-06-25-00-00-00,62.09,62.389998999999996,60.66,61.5,61.5,10442700,,
2021-06-28-00-00-00,61.5,61.560001,58.59,58.73,58.73,5359400,,
2021-06-29-00-00-00,59.18,60.25,58.55,59.99,,3530900,0.0,0.0
2021-06-30-00-00-00,59.66,61.38,59.66,60.48,,3741600,0.0,0.0
