,2017-07-31,2018-07-31,2019-07-31,2020-07-31,2021-07-31,2022-07-31
Intangible Assets,22000000.0,61000000.0,54000000.0,28000000.0,3252000000.0,7061000000.0
Capital Surplus,4854000000.0,5335000000.0,5772000000.0,6179000000.0,10545000000.0,17722000000.0
Total Liab,2714000000.0,2318000000.0,2534000000.0,5825000000.0,5647000000.0,11293000000.0
Total Stockholder Equity,1354000000.0,2816000000.0,3749000000.0,5106000000.0,9869000000.0,16441000000.0
Other Current Liab,1325000000.0,1030000000.0,1138000000.0,1221000000.0,1267000000.0,1530000000.0
Total Assets,4068000000.0,5134000000.0,6283000000.0,10931000000.0,15516000000.0,27734000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,372000000.0,367000000.0,436000000.0,455000000.0,457000000.0,431000000.0
Retained Earnings,7297000000.0,8564000000.0,9621000000.0,10885000000.0,12296000000.0,13581000000.0
Other Liab,332000000.0,187000000.0,182000000.0,44000000.0,578000000.0,706000000.0
Good Will,1295000000.0,1611000000.0,1655000000.0,1654000000.0,5613000000.0,13736000000.0
Treasury Stock,-10800000000.0,-11086000000.0,-11647000000.0,-11961000000.0,-12975000000.0,-14865000000.0
Other Assets,275000000.0,215000000.0,187000000.0,290000000.0,291000000.0,355000000.0
Cash,529000000.0,1464000000.0,2116000000.0,6442000000.0,2562000000.0,2796000000.0
Total Current Liabilities,1944000000.0,1743000000.0,1966000000.0,3529000000.0,2655000000.0,3630000000.0
Deferred Long Term Asset Charges,132000000.0,2000000.0,1000000.0,65000000.0,8000000.0,11000000.0
Short Long Term Debt,50000000.0,50000000.0,50000000.0,1338000000.0,,499000000.0
Other Stockholder Equity,-22000000.0,-36000000.0,-36000000.0,-32000000.0,-24000000.0,-60000000.0
Property Plant Equipment,1030000000.0,812000000.0,780000000.0,960000000.0,1160000000.0,1437000000.0
Total Current Assets,1415000000.0,2422000000.0,3594000000.0,7980000000.0,5157000000.0,5047000000.0
Long Term Investments,31000000.0,13000000.0,13000000.0,19000000.0,43000000.0,98000000.0
Net Tangible Assets,37000000.0,1144000000.0,2040000000.0,3424000000.0,1004000000.0,-4356000000.0
Short Term Investments,248000000.0,252000000.0,624000000.0,608000000.0,1308000000.0,485000000.0
Net Receivables,166000000.0,192000000.0,247000000.0,201000000.0,646000000.0,1048000000.0
Long Term Debt,438000000.0,388000000.0,386000000.0,2031000000.0,2034000000.0,6415000000.0
Accounts Payable,157000000.0,178000000.0,274000000.0,305000000.0,623000000.0,737000000.0
