,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31
Investments,-1000000.0,-12000000.0,-169000000.0,-170000000.0,-359000000.0,919000000.0,346000000.0
Change To Liabilities,-55000000.0,-143000000.0,320000000.0,4000000.0,47000000.0,-193000000.0,360000000.0
Total Cashflows From Investing Activities,14000000.0,-130000000.0,-3136000000.0,-262000000.0,-437000000.0,796000000.0,-5478000000.0
Net Borrowings,2971000000.0,-1013000000.0,-325000000.0,-325000000.0,2000000.0,2000000.0,4700000000.0
Total Cash From Financing Activities,2830000000.0,-1153000000.0,-434000000.0,-992000000.0,-597000000.0,-786000000.0,3858000000.0
Change To Operating Activities,150000000.0,-315000000.0,-17000000.0,243000000.0,5000000.0,-241000000.0,-379000000.0
Issuance Of Stock,51000000.0,88000000.0,20000000.0,29000000.0,59000000.0,55000000.0,20000000.0
Net Income,445000000.0,198000000.0,20000000.0,1464000000.0,380000000.0,228000000.0,100000000.0
Change In Cash,3137000000.0,-1239000000.0,-3280000000.0,1134000000.0,-493000000.0,153000000.0,-1539000000.0
Repurchase Of Stock,-116000000.0,-99000000.0,-233000000.0,-455000000.0,-601000000.0,-502000000.0,-727000000.0
Effect Of Exchange Rate,6000000.0,-1000000.0,11000000.0,4000000.0,-1000000.0,-2000000.0,-4000000.0
Total Cash From Operating Activities,287000000.0,45000000.0,279000000.0,2384000000.0,542000000.0,145000000.0,85000000.0
Depreciation,45000000.0,39000000.0,77000000.0,99000000.0,98000000.0,99000000.0,173000000.0
Other Cashflows From Investing Activities,-10000000.0,-13000000.0,61000000.0,-11000000.0,-7000000.0,-28000000.0,12000000.0
Dividends Paid,-142000000.0,-158000000.0,-163000000.0,-161000000.0,-164000000.0,-190000000.0,-195000000.0
Change To Account Receivables,73000000.0,47000000.0,-225000000.0,-89000000.0,163000000.0,-21000000.0,-451000000.0
Other Cashflows From Financing Activities,66000000.0,29000000.0,-58000000.0,-80000000.0,109000000.0,-151000000.0,60000000.0
Change To Netincome,-49000000.0,229000000.0,155000000.0,293000000.0,159000000.0,247000000.0,368000000.0
Capital Expenditures,48000000.0,-38000000.0,-33000000.0,-30000000.0,48000000.0,-42000000.0,-65000000.0
