,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-1900000.0,-2400000.0,-400000.0,-400000.0,-148700000.0,701100000.0,701100000.0,-319400000.0,-201300000.0
Change To Liabilities,-21600000.0,-11800000.0,46100000.0,-35800000.0,6000000.0,1900000.0,3100000.0,36000000.0,-16400000.0
Total Cashflows From Investing Activities,-53000000.0,-24500000.0,-44700000.0,-96200000.0,-201100000.0,-35600000.0,524900000.0,541000000.0,-248700000.0
Net Borrowings,15000000.0,-50000000.0,30000000.0,162600000.0,-235900000.0,-145000000.0,155000000.0,-475000000.0,160000000.0
Total Cash From Financing Activities,-77600000.0,-143000000.0,-63700000.0,-10400000.0,-415600000.0,-319500000.0,-524000000.0,-792700000.0,4700000.0
Change To Operating Activities,11300000.0,2700000.0,-43900000.0,-59400000.0,-40300000.0,1700000.0,1400000.0,-99400000.0,-49900000.0
Issuance Of Stock,500000.0,200000.0,500000.0,8100000.0,3500000.0,8900000.0,8900000.0,8900000.0,500000.0
Net Income,161900000.0,228600000.0,177100000.0,181800000.0,222500000.0,232700000.0,168800000.0,293300000.0,194000000.0
Change In Cash,104800000.0,70300000.0,183500000.0,69200000.0,-443000000.0,-18600000.0,360200000.0,-51700000.0,-137200000.0
Repurchase Of Stock,-600000.0,-300000.0,-1700000.0,-84500000.0,-76000000.0,-75300000.0,-174100000.0,-154400000.0,-31100000.0
Total Cash From Operating Activities,235400000.0,237800000.0,291900000.0,175800000.0,173700000.0,336500000.0,359300000.0,200000000.0,106800000.0
Depreciation,57100000.0,54200000.0,56100000.0,53400000.0,55600000.0,51300000.0,47900000.0,46800000.0,45900000.0
Other Cashflows From Investing Activities,-2600000.0,600000.0,600000.0,1100000.0,-4000000.0,-700000.0,7300000.0,-5900000.0,6800000.0
Dividends Paid,-92500000.0,-92900000.0,-92500000.0,-96700000.0,-96800000.0,-95200000.0,-92900000.0,-91800000.0,-93000000.0
Other Cashflows From Financing Activities,100000.0,100000.0,100000.0,100000.0,-10400000.0,-4000000.0,-412000000.0,-80400000.0,-31700000.0
Change To Netincome,43100000.0,42500000.0,53300000.0,30300000.0,1900000.0,44100000.0,132600000.0,-132900000.0,9900000.0
Capital Expenditures,-9600000.0,-8600000.0,-12000000.0,-8700000.0,-9200000.0,-8500000.0,-11300000.0,-10300000.0,-5000000.0
