,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Intangible Assets,1327000000.0,1276000000.0,1203000000.0,2338000000.0,4095000000.0,3428000000.0
Capital Surplus,3559000000.0,3972000000.0,4403000000.0,4790000000.0,5335000000.0,5796000000.0
Total Liab,7166000000.0,7857000000.0,8745000000.0,13819000000.0,15023000000.0,14478000000.0
Total Stockholder Equity,4384000000.0,4688000000.0,4386000000.0,3935000000.0,6057000000.0,5590000000.0
Minority Interest,18000000.0,22000000.0,25000000.0,27000000.0,891000000.0,842000000.0
Other Current Liab,,46000000.0,320000000.0,514000000.0,747000000.0,669000000.0
Total Assets,11568000000.0,12567000000.0,13156000000.0,17781000000.0,21971000000.0,20910000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,10000000.0,33000000.0,27000000.0,87000000.0,52000000.0,191000000.0
Retained Earnings,8452000000.0,9040000000.0,9984000000.0,10134000000.0,12244000000.0,13912000000.0
Other Liab,960000000.0,1186000000.0,1244000000.0,1448000000.0,2037000000.0,1651000000.0
Good Will,1916000000.0,1926000000.0,1868000000.0,1401000000.0,2616000000.0,2521000000.0
Treasury Stock,-7633000000.0,-8330000000.0,-10007000000.0,-10995000000.0,-11528000000.0,-14124000000.0
Other Assets,664000000.0,531000000.0,805000000.0,813000000.0,1022000000.0,1064000000.0
Cash,1136000000.0,2181000000.0,2987000000.0,5022000000.0,4958000000.0,3957000000.0
Total Current Liabilities,2823000000.0,3310000000.0,4605000000.0,5179000000.0,5298000000.0,5815000000.0
Deferred Long Term Asset Charges,322000000.0,120000000.0,295000000.0,44000000.0,631000000.0,695000000.0
Short Long Term Debt,19000000.0,39000000.0,542000000.0,467000000.0,14000000.0,373000000.0
Other Stockholder Equity,-484000000.0,-434000000.0,-563000000.0,-665000000.0,-470000000.0,-762000000.0
Property Plant Equipment,1671000000.0,1823000000.0,2068000000.0,4337000000.0,4470000000.0,4599000000.0
Total Current Assets,4964000000.0,6168000000.0,7212000000.0,8892000000.0,9768000000.0,9298000000.0
Net Tangible Assets,1141000000.0,1486000000.0,1315000000.0,196000000.0,-654000000.0,-359000000.0
Net Receivables,1395000000.0,1487000000.0,1831000000.0,1194000000.0,1702000000.0,1629000000.0
Long Term Debt,3383000000.0,3361000000.0,2896000000.0,4909000000.0,5510000000.0,5134000000.0
Inventory,1479000000.0,1618000000.0,2006000000.0,2062000000.0,2505000000.0,2920000000.0
Accounts Payable,835000000.0,1182000000.0,1490000000.0,1177000000.0,1692000000.0,1822000000.0
Long Term Investments,1026000000.0,843000000.0,,,,
Short Term Investments,605000000.0,534000000.0,,,,
