,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Net Income,164075000.0,256466000.0,305004000.0,248762000.0,321295000.0,332081000.0,334581000.0,426100000.0,433314000.0
Change To Liabilities,76805000.0,136515000.0,88382000.0,107313000.0,25315000.0,-36762000.0,60885000.0,162798000.0,0.0
Investments,-38000.0,-397000.0,11625000.0,-659000.0,-202000.0,-202000.0,-421000.0,-472000.0,
Total Cashflows From Investing Activities,-4548000.0,-4293000.0,8166000.0,-3394000.0,-3228000.0,-5364000.0,-6193000.0,-4318000.0,
Net Borrowings,598648000.0,324792000.0,-324000.0,-329000.0,-332000.0,-347000.0,-355000.0,-356000.0,
Total Cash From Financing Activities,612050000.0,360100000.0,-136788000.0,-320129000.0,-339225000.0,-372674000.0,-364984000.0,-714903000.0,
Change To Operating Activities,7761000.0,-11435000.0,-4066000.0,-3092000.0,-21226000.0,-23835000.0,-39221000.0,-8979000.0,
Issuance Of Stock,16984000.0,36476000.0,18344000.0,57625000.0,38048000.0,26162000.0,20535000.0,34241000.0,
Change In Cash,909730000.0,564478000.0,217307000.0,4735000.0,-149691000.0,83234000.0,-111076000.0,-409895000.0,
Repurchase Of Stock,-154496000.0,-154496000.0,-154496000.0,-377425000.0,-376941000.0,-398489000.0,-385164000.0,-748788000.0,
Total Cash From Operating Activities,302228000.0,208671000.0,345929000.0,328258000.0,192762000.0,461272000.0,260101000.0,309326000.0,
Depreciation,5632000.0,5547000.0,5191000.0,5203000.0,4835000.0,4682000.0,4743000.0,4460000.0,
Change To Inventory,-87500000.0,-160636000.0,54104000.0,-120710000.0,-143581000.0,109848000.0,-83841000.0,-246273000.0,
Change To Account Receivables,30365000.0,-235000.0,1385000.0,-4243000.0,-84000.0,1978000.0,4305000.0,-13782000.0,
Change To Netincome,105090000.0,-17551000.0,-104071000.0,95025000.0,6208000.0,73280000.0,-21351000.0,-14998000.0,
Capital Expenditures,-4707000.0,-4112000.0,-3790000.0,-3104000.0,-3516000.0,-5326000.0,-5929000.0,-4056000.0,
Other Cashflows From Financing Activities,-3582000.0,-1168000.0,-312000.0,,,,,,
