,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,-202000000.0,9000000.0,134000000.0,92000000.0,140000000.0,147000000.0
Total Cashflows From Investing Activities,-224000000.0,383000000.0,-237000000.0,-2260000000.0,1931000000.0,-2398000000.0
Total Cash From Financing Activities,1394000000.0,4780000000.0,-2592000000.0,-2458000000.0,-2798000000.0,-665000000.0
Change To Operating Activities,2000000.0,230000000.0,-132000000.0,-27000000.0,-64000000.0,148000000.0
Issuance Of Stock,23000000.0,23000000.0,23000000.0,90000000.0,18000000.0,2000000.0
Net Income,-2478000000.0,-79000000.0,222000000.0,5394000000.0,478000000.0,391000000.0
Change In Cash,1987000000.0,6471000000.0,-1465000000.0,-4377000000.0,-418000000.0,-2242000000.0
Repurchase Of Stock,-1000000.0,-1000000.0,-1000000.0,-515000000.0,-653000000.0,-501000000.0
Effect Of Exchange Rate,15000000.0,34000000.0,63000000.0,-37000000.0,9000000.0,-21000000.0
Total Cash From Operating Activities,802000000.0,1274000000.0,1301000000.0,378000000.0,440000000.0,842000000.0
Depreciation,774000000.0,780000000.0,768000000.0,328000000.0,333000000.0,370000000.0
Other Cashflows From Investing Activities,13000000.0,5000000.0,7000000.0,4000000.0,5000000.0,9000000.0
Dividends Paid,-220000000.0,-220000000.0,-220000000.0,-161000000.0,-158000000.0,-157000000.0
Change To Inventory,122000000.0,324000000.0,258000000.0,-174000000.0,-163000000.0,-178000000.0
Change To Account Receivables,245000000.0,22000000.0,175000000.0,-228000000.0,-118000000.0,-53000000.0
Other Cashflows From Financing Activities,-16000000.0,-82000000.0,-2000000.0,-122000000.0,-5000000.0,-9000000.0
Change To Netincome,2339000000.0,-12000000.0,-124000000.0,-5007000000.0,-166000000.0,17000000.0
Capital Expenditures,-238000000.0,-203000000.0,-269000000.0,-294000000.0,-216000000.0,-2520000000.0
Investments,1000000.0,-2001000000.0,-2001000000.0,-2001000000.0,2001000000.0,
Net Borrowings,1631000000.0,5083000000.0,-2392000000.0,-1750000000.0,-2000000000.0,
