,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,-112000000.0,98000000.0,12000000.0,72000000.0
Total Cashflows From Investing Activities,-63000000.0,-177000000.0,-174000000.0,-164000000.0
Total Cash From Financing Activities,-339000000.0,-597000000.0,-93000000.0,1141000000.0
Change To Operating Activities,20000000.0,126000000.0,-23000000.0,43000000.0
Net Income,559000000.0,359000000.0,479000000.0,377000000.0
Change In Cash,-2000000.0,-50000000.0,301000000.0,1402000000.0
Repurchase Of Stock,-220000000.0,-3000000.0,-3000000.0,-3000000.0
Total Cash From Operating Activities,400000000.0,718000000.0,562000000.0,438000000.0
Depreciation,109000000.0,63000000.0,111000000.0,111000000.0
Other Cashflows From Investing Activities,17000000.0,-20000000.0,-25000000.0,-5000000.0
Dividends Paid,-119000000.0,-95000000.0,-95000000.0,-95000000.0
Change To Inventory,-84000000.0,-52000000.0,-61000000.0,-136000000.0
Change To Account Receivables,-108000000.0,5000000.0,-2000000.0,-38000000.0
Change To Netincome,16000000.0,73000000.0,46000000.0,9000000.0
Capital Expenditures,-77000000.0,-152000000.0,-117000000.0,-90000000.0
Net Borrowings,,-497000000.0,-497000000.0,1241000000.0
Effect Of Exchange Rate,,6000000.0,6000000.0,-13000000.0
Other Cashflows From Financing Activities,,-2000000.0,-2000000.0,-9000000.0
Issuance Of Stock,,,2000000.0,4000000.0
