,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,833623000.0,114634000.0,-324974000.0,192231000.0,166152000.0,183599000.0,128473000.0,-295270000.0,238680000.0,238680000.0,25661000.0
Change To Liabilities,500004000.0,-495767000.0,-19390000.0,59642000.0,-11123000.0,6400000.0,49170000.0,2633000.0,0.0,-1851000.0,-8984000.0
Total Cashflows From Investing Activities,787667000.0,92889000.0,-325548000.0,185419000.0,161123000.0,180621000.0,230988000.0,-305720000.0,97365000.0,97365000.0,29382000.0
Net Borrowings,-12254000.0,710284000.0,-28599000.0,-27687000.0,-19878000.0,-18768000.0,-23997000.0,-17350000.0,-22111000.0,-22111000.0,-31259000.0
Total Cash From Financing Activities,-16644000.0,584620000.0,-31955000.0,-23455000.0,-24286000.0,-9711000.0,-29141000.0,-9332000.0,-11594000.0,-11594000.0,-33263000.0
Change To Operating Activities,-500284000.0,62862000.0,97506000.0,-40621000.0,147498000.0,-37497000.0,-56839000.0,15752000.0,168761000.0,168761000.0,8244000.0
Issuance Of Stock,2372000.0,11828000.0,410000.0,11457000.0,3244000.0,17148000.0,970000.0,12460000.0,12259000.0,12259000.0,49000.0
Net Income,-398073000.0,-437112000.0,-459517000.0,-458155000.0,-427339000.0,-251918000.0,-71539000.0,-258563000.0,0.0,-377246000.0,-422201000.0
Change In Cash,563977000.0,-74457000.0,-513063000.0,-102437000.0,57407000.0,133333000.0,243211000.0,-341243000.0,60373000.0,60373000.0,-30735000.0
Repurchase Of Stock,-6762000.0,-4437000.0,-3316000.0,-5725000.0,-7652000.0,-8091000.0,-6111000.0,-4443000.0,-1742000.0,-1742000.0,-2053000.0
Effect Of Exchange Rate,-120000.0,-244000.0,78000.0,212000.0,34000.0,-9000.0,-166000.0,28000.0,-210000.0,-210000.0,-659000.0
Total Cash From Operating Activities,-206926000.0,-751722000.0,-155638000.0,-264613000.0,-79464000.0,-37568000.0,41530000.0,-26219000.0,-25188000.0,-25188000.0,-26195000.0
Depreciation,35474000.0,44462000.0,41714000.0,35703000.0,34449000.0,34556000.0,37060000.0,33282000.0,29119000.0,29119000.0,35880000.0
Change To Netincome,155953000.0,69713000.0,175668000.0,130269000.0,168580000.0,202123000.0,74600000.0,171419000.0,155335000.0,155335000.0,360130000.0
Capital Expenditures,-34476000.0,-21759000.0,-14609000.0,-22795000.0,-10685000.0,-9829000.0,-36162000.0,-22500000.0,-23000000.0,-23000000.0,-29091000.0
Other Cashflows From Financing Activities,-133055000.0,-133055000.0,-450000.0,-1500000.0,-3000.0,-3000.0,-3000.0,1000.0,,,
Other Cashflows From Investing Activities,960000.0,974000.0,-974000.0,-2000000.0,-2000000.0,-2000000.0,,,,,
