,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,187000000.0,428000000.0,582000000.0,622000000.0,729000000.0,645000000.0,629000000.0,448000000.0,533000000.0,542000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,-12000000000.0,-2685000000.0,-2011000000.0,-5632000000.0,-4889000000.0,-4776000000.0,4187000000.0,6715000000.0,-331000000.0,
Total Cashflows From Investing Activities,-15022000000.0,201000000.0,-178000000.0,-5530000000.0,-4584000000.0,-5955000000.0,1001000000.0,1974000000.0,-6151000000.0,
Net Borrowings,-5064000000.0,-1953000000.0,1054000000.0,-958000000.0,595000000.0,61000000.0,-1279000000.0,1072000000.0,9230000000.0,
Total Cash From Financing Activities,14938000000.0,-926000000.0,-633000000.0,5582000000.0,3985000000.0,5011000000.0,-841000000.0,-3084000000.0,6223000000.0,
Change To Operating Activities,-29000000.0,-28000000.0,-33000000.0,-27000000.0,-1000000.0,-28000000.0,-57000000.0,-27000000.0,-27000000.0,
Change In Cash,194000000.0,-103000000.0,135000000.0,-153000000.0,-146000000.0,-29000000.0,150000000.0,-229000000.0,-6000000.0,
Total Cash From Operating Activities,278000000.0,622000000.0,946000000.0,-205000000.0,453000000.0,915000000.0,-10000000.0,881000000.0,-78000000.0,
Depreciation,32000000.0,26000000.0,-50000000.0,17000000.0,4000000.0,59000000.0,-114000000.0,40000000.0,34000000.0,
Other Cashflows From Investing Activities,21000000.0,6000000.0,20000000.0,17000000.0,19000000.0,20000000.0,16000000.0,14000000.0,25000000.0,
Dividends Paid,-207000000.0,-207000000.0,-207000000.0,-207000000.0,-206000000.0,-201000000.0,-209000000.0,-208000000.0,-209000000.0,
Other Cashflows From Financing Activities,20209000000.0,1233000000.0,-1464000000.0,6901000000.0,3889000000.0,5859000000.0,641000000.0,-3909000000.0,-2798000000.0,
Change To Netincome,-62000000.0,284000000.0,400000000.0,-741000000.0,-239000000.0,290000000.0,-735000000.0,567000000.0,-657000000.0,
Capital Expenditures,-15000000.0,-18000000.0,-18000000.0,-12000000.0,-20000000.0,1000000.0,-35000000.0,-18000000.0,-24000000.0,
Issuance Of Stock,1000000.0,1000000.0,1000000.0,12000000.0,8000000.0,1000000.0,6000000.0,5000000.0,,
Repurchase Of Stock,-1000000.0,-17000000.0,-17000000.0,-166000000.0,-301000000.0,-709000000.0,-44000000.0,-44000000.0,,
